energy,L,J,totalWidth,neutronWidth,captureWidth
0.2,0,8.5,0.05105067,5.066667e-05,0.051
0.435,0,8.5,0.05118683,0.000186833,0.051
2.061,0,8.5,0.05189722,0.000897222,0.051
2.203,0,8.5,0.05526389,0.000263889,0.055
3.952,0,8.5,0.04481278,0.000812778,0.044
5.663,0,8.5,0.04232722,0.000327222,0.042
5.934,0,8.5,0.05588444,0.00388444,0.052
6.647,0,8.5,0.041285,0.000285,0.041
7.856,0,8.5,0.05015056,0.00115056,0.049
10.96,0,8.5,0.03827444,0.000274444,0.038
11.92,0,8.5,0.06088167,0.00288167,0.058
13.98,0,8.5,0.03330889,0.00130889,0.032
14.3,0,8.5,0.06867833,0.00167833,0.067
16.94,0,8.5,0.04469167,0.00269167,0.042
18.19,0,8.5,0.06007778,0.00907778,0.051
19.09,0,8.5,0.05943333,0.00443333,0.055
21.16,0,8.5,0.05395556,0.00295556,0.051
23.14,0,8.5,0.05155944,0.000559444,0.051
23.5,0,8.5,0.05257278,0.00157278,0.051
24.55,0,8.5,0.05680556,0.00580556,0.051
24.94,0,8.5,0.05247778,0.00147778,0.051
27.51,0,8.5,0.05701667,0.00601667,0.051
30.66,0,8.5,0.05195,0.00095,0.051
32.04,0,8.5,0.05501111,0.00401111,0.051
33.4,0,8.5,0.05279444,0.00179444,0.051
34.6,0,8.5,0.05184444,0.000844444,0.051
37.1,0,8.5,0.05163333,0.000633333,0.051
37.56,0,8.5,0.05553889,0.00453889,0.051
41.0,0,8.5,0.05163333,0.000633333,0.051
41.4,0,8.5,0.05427222,0.00327222,0.051
43.59,0,8.5,0.05342778,0.00242778,0.051
44.62,0,8.5,0.05247778,0.00147778,0.051
46.17,0,8.5,0.05363889,0.00263889,0.051
47.79,0,8.5,0.0631389,0.0121389,0.051
48.59,0,8.5,0.05912778,0.00812778,0.051
49.25,0,8.5,0.05342778,0.00242778,0.051
51.77,0,8.5,0.05416667,0.00316667,0.051
53.73,0,8.5,0.05912778,0.00812778,0.051
54.9,0,8.5,0.0712667,0.0202667,0.051
55.59,0,8.5,0.05849444,0.00749444,0.051
58.05,0,8.5,0.05268889,0.00168889,0.051
59.41,0,8.5,0.05849444,0.00749444,0.051
62.74,0,8.5,0.05532778,0.00432778,0.051
64.39,0,8.5,0.0643,0.0133,0.051
66.95,0,8.5,0.05522222,0.00422222,0.051
70.3,0,8.5,0.05701667,0.00601667,0.051
71.0,0,8.5,0.05247778,0.00147778,0.051
71.6,0,8.5,0.05268889,0.00168889,0.051
72.1,0,8.5,0.05332222,0.00232222,0.051
75.1,0,8.5,0.05226667,0.00126667,0.051
75.93,0,8.5,0.05997222,0.00897222,0.051
76.7,0,8.5,0.05838889,0.00738889,0.051
78.0,0,8.5,0.05511667,0.00411667,0.051
80.2,0,8.5,0.0567,0.0057,0.051
84.8,0,8.5,0.05817778,0.00717778,0.051
88.2,0,8.5,0.05976111,0.00876111,0.051
90.4,0,8.5,0.05311111,0.00211111,0.051
93.0,0,8.5,0.05490556,0.00390556,0.051
95.5,0,8.5,0.0626111,0.0116111,0.051
97.5,0,8.5,0.05427222,0.00327222,0.051
101.9,0,8.5,0.05838889,0.00738889,0.051
