energy,L,J,totalWidth,neutronWidth,captureWidth
-54.74644,1,0.0,0.108987,0.0003097338,0.1089866
-29.47135,1,0.0,0.108988,0.0003097338,0.1089866
-27.9542,0,1.0,0.143857,0.0003067919,0.1079514
-14.61518,0,2.0,0.1106207,0.0003016403,0.1061387
-14.57395,1,1.0,0.1076726,0.0003059995,0.1076726
-13.06556,0,1.0,0.1242266,0.0003067919,0.1079514
-12.60957,1,1.0,0.1076727,0.0003059995,0.1076726
-9.076426,1,3.0,0.1032036,0.0002932989,0.1032036
-8.565928,1,2.0,0.1058436,0.0003008016,0.1058436
-7.896494,1,0.0,0.1089866,0.0003097338,0.1089866
-6.641886,0,2.0,0.1221434,0.0003016403,0.1061387
-5.289469,1,3.0,0.1032036,0.0002932989,0.1032036
-3.503245,1,2.0,0.1058436,0.0003008016,0.1058436
-2.651591,0,1.0,0.1142197,0.0003067919,0.1079514
-1.996042,1,3.0,0.1032036,0.0002932989,0.1032036
-0.8552954,0,2.0,0.147893,0.0003016403,0.1061387
-0.3647254,1,1.0,0.1076726,0.0003059995,0.1076726
-0.3050025,1,2.0,0.1058436,0.0003008016,0.1058436
3.579912,0,1.0,0.1188958,0.001098288,0.1079514
4.820128,0,2.0,0.1094286,0.001453945,0.1061387
5.987436,0,2.0,0.1066741,0.001806052,0.1061387
11.52074,0,2.0,0.1149449,0.003475119,0.1061387
13.58887,0,2.0,0.106139,0.00409895,0.1061387
20.17653,0,1.0,0.1084754,0.006189996,0.1079514
24.1268,0,2.0,0.174305,0.007277615,0.1061387
29.67726,0,2.0,0.1154576,0.008951857,0.1061387
33.85855,0,2.0,0.1252027,0.0102131,0.1061387
36.05013,0,2.0,0.1200574,0.01087417,0.1061387
36.90476,0,1.0,0.1083399,0.01132208,0.1079514
37.67838,0,1.0,0.1585957,0.01155942,0.1079514
43.34955,0,2.0,0.1063609,0.01307597,0.1061387
47.04597,0,2.0,0.1080793,0.01419096,0.1061387
49.60463,0,1.0,0.1141205,0.0152183,0.1079514
50.47806,0,2.0,0.1383049,0.01522622,0.1061387
55.20855,0,2.0,0.1369621,0.01665312,0.1061387
59.11479,0,2.0,0.1216302,0.0178314,0.1061387
60.26969,0,1.0,0.1308957,0.01849025,0.1079514
65.02055,0,2.0,0.3408435,0.01961282,0.1061387
65.82586,0,1.0,0.1140635,0.02019484,0.1079514
68.33028,0,1.0,0.2766384,0.02096317,0.1079514
69.71827,0,2.0,0.1455773,0.02102984,0.1061387
77.63519,0,2.0,0.1133624,0.0234179,0.1061387
78.24454,0,1.0,0.1719946,0.02400479,0.1079514
83.91587,0,2.0,0.1940139,0.0253124,0.1061387
89.52483,0,2.0,0.2838683,0.02700429,0.1061387
91.42229,0,1.0,0.5429708,0.02804761,0.1079514
93.31044,0,1.0,0.3722971,0.02862688,0.1079514
