energy,L,J,totalWidth,neutronWidth,captureWidth
-528.802,1,5.5,0.1392047,0.006134098,0.1330706
-473.8354,1,6.5,0.1201108,0.0002812516,0.1198295
-451.7471,1,4.5,0.145705,0.0003259284,0.1453791
-426.0325,0,6.5,0.1438943,0.02405889,0.1198354
-384.9988,1,7.5,0.1084244,7.410364e-07,0.1084237
-381.9084,0,6.5,0.154461,0.03462555,0.1198354
-269.4983,1,6.5,0.1198783,4.877085e-05,0.1198295
-258.4668,0,5.5,0.143778,0.01196416,0.1318138
-246.3816,0,6.5,0.1762696,0.05643421,0.1198354
-241.3662,1,7.5,0.1127579,0.004334193,0.1084237
-155.3074,1,4.5,0.1453934,1.428727e-05,0.1453791
-112.3782,1,5.5,0.1330709,3.09919e-07,0.1330706
-109.0557,0,5.5,0.1541129,0.02229913,0.1318138
-104.1279,1,7.5,0.1084774,5.370021e-05,0.1084237
-55.21095,1,6.5,0.1198656,3.610954e-05,0.1198295
-53.07374,1,4.5,0.1454335,5.43502e-05,0.1453791
-32.85084,0,5.5,0.1465879,0.01477405,0.1318138
-32.05494,1,5.5,0.1330894,1.87519e-05,0.1330706
59.05621,0,5.5,0.1344642,0.002650413,0.1318138
169.085,0,6.5,0.2144819,0.09464651,0.1198354
206.7735,0,5.5,0.1530214,0.02120761,0.1318138
245.1384,0,6.5,0.505269,0.3854336,0.1198354
372.1492,0,5.5,0.1415139,0.009700068,0.1318138
378.5148,0,6.5,0.1262866,0.0064512,0.1198354
448.0579,0,5.5,0.2851926,0.1533788,0.1318138
586.7932,0,6.5,0.3485784,0.228743,0.1198354
746.6577,0,5.5,0.2417631,0.1099493,0.1318138
930.9966,0,5.5,0.4351012,0.3032874,0.1318138
949.565,0,6.5,0.3372914,0.217456,0.1198354
1094.751,0,6.5,0.5670693,0.4472339,0.1198354
1194.613,0,5.5,0.1375548,0.005741005,0.1318138
1209.195,0,6.5,0.1604396,0.04060418,0.1198354
1375.454,0,5.5,0.1802636,0.04844984,0.1318138
1427.411,0,5.5,0.1342919,0.002478114,0.1318138
1447.388,0,6.5,0.3134577,0.1936223,0.1198354
1560.385,1,5.5,0.2125541,0.07948349,0.1330706
1601.551,0,5.5,0.2022624,0.07044855,0.1318138
1606.346,0,6.5,0.6161258,0.4962904,0.1198354
1700.856,0,5.5,0.1319746,0.0001608343,0.1318138
1873.867,0,5.5,0.4179391,0.2861253,0.1318138
1888.987,0,6.5,0.1245136,0.004678178,0.1198354
1938.966,0,6.5,0.1206549,0.0008194865,0.1198354
2084.471,0,5.5,2.219699,2.087885,0.1318138
2207.227,0,6.5,0.1210849,0.001249517,0.1198354
2326.653,0,5.5,0.4076431,0.2758293,0.1318138
2344.899,0,6.5,0.2301154,0.11028,0.1198354
2422.963,1,7.5,0.1764668,0.06804307,0.1084237
2437.656,0,5.5,0.3073078,0.175494,0.1318138
2473.791,0,6.5,0.2602623,0.1404269,0.1198354
2488.799,0,5.5,0.9287908,0.7969771,0.1318138
2535.747,1,4.5,0.2998718,0.1544927,0.1453791
2629.288,0,5.5,1.187998,1.056184,0.1318138
2689.371,0,5.5,0.1461001,0.01428632,0.1318138
2742.531,0,5.5,0.1331223,0.00130845,0.1318138
2764.977,0,6.5,0.1401462,0.02031075,0.1198354
2940.715,1,7.5,0.1728801,0.06445643,0.1084237
2948.418,0,6.5,0.3683527,0.2485173,0.1198354
2949.211,0,5.5,0.9042127,0.7723989,0.1318138
2989.887,1,7.5,0.1685497,0.06012604,0.1084237
3023.239,1,4.5,0.2131418,0.06776265,0.1453791
3131.532,0,5.5,0.1776106,0.04579679,0.1318138
3170.014,0,6.5,1.689593,1.569757,0.1198354
3206.016,0,5.5,0.3046141,0.1728003,0.1318138
3233.695,1,6.5,0.3693659,0.2495364,0.1198295
3247.438,1,4.5,0.2069609,0.06158176,0.1453791
3255.511,0,5.5,0.4214028,0.289589,0.1318138
3309.752,0,6.5,0.1664755,0.04664008,0.1198354
3467.374,1,5.5,0.2354729,0.1024023,0.1330706
3539.247,0,5.5,0.7139261,0.5821122,0.1318138
3570.144,0,6.5,0.1894815,0.06964614,0.1198354
3614.268,0,6.5,0.2263544,0.106519,0.1198354
3737.709,0,5.5,0.1773108,0.04549699,0.1318138
3749.794,0,6.5,0.3399973,0.2201619,0.1198354
3754.81,1,7.5,0.3725328,0.2641091,0.1084237
3887.12,0,5.5,0.2649444,0.1331306,0.1318138
3963.325,0,5.5,0.2940904,0.1622766,0.1318138
4015.14,1,5.5,0.1901796,0.05710899,0.1330706
4055.232,0,5.5,0.1537766,0.02196285,0.1318138
4137.991,1,4.5,0.2024915,0.05711238,0.1453791
4165.261,0,6.5,0.5895924,0.469757,0.1198354
4202.95,0,5.5,0.2274278,0.09561401,0.1318138
4241.314,0,6.5,1.723059,1.603224,0.1198354
4353.212,1,5.5,0.2095412,0.07647059,0.1330706
4368.325,0,5.5,0.1650471,0.03323331,0.1318138
4374.691,0,6.5,0.1417671,0.02193172,0.1198354
4397.208,1,6.5,0.229189,0.1093595,0.1198295
