energy,L,J,totalWidth,neutronWidth,captureWidth
2.334,0,1.0,0.1144,0.0104,0.104
24.1,0,0.0,0.182,0.074,0.108
35.9,0,1.0,0.11,0.008,0.102
73.1,0,1.0,0.1224,0.0024,0.12
96.8,0,0.0,0.145,0.029,0.116
108.8,0,1.0,0.12208,0.00208,0.12
119.9,0,1.0,0.12596,0.00596,0.12
132.7,0,1.0,0.2533333,0.06533333,0.188
158.6,0,1.0,0.2613333,0.1613333,0.1
182.1,0,0.0,0.128,0.007999999,0.12
235.3,0,0.0,0.268,0.148,0.12
274.8,0,1.0,0.101,0.044,0.057
317.5,0,0.0,0.52,0.306,0.214
334.6,0,1.0,0.144,0.024,0.12
341.7,0,1.0,0.1913333,0.07133333,0.12
363.4,0,1.0,0.3133333,0.1933333,0.12
374.5,0,1.0,0.1653333,0.04533334,0.12
409.5,0,1.0,0.1545333,0.03453333,0.12
436.6,0,1.0,0.168,0.048,0.12
467.6,0,1.0,0.166,0.046,0.12
493.5,0,0.0,0.16,0.04,0.12
498.3,0,1.0,0.1531333,0.03313333,0.12
562.5,0,0.0,0.2,0.08,0.12
608.0,0,1.0,0.24,0.12,0.12
616.8,0,0.0,1.28,1.16,0.12
620.7,0,1.0,0.152,0.032,0.12
664.4,0,1.0,0.24,0.12,0.12
747.1,0,0.0,0.1944,0.0744,0.12
854.7,0,1.0,0.2052,0.0852,0.12
918.0,0,1.0,0.23,0.11,0.12
997.4,0,1.0,0.256,0.136,0.12
1063.0,0,0.0,0.2224,0.1024,0.12
1074.0,0,1.0,0.28,0.16,0.12
1098.0,0,1.0,0.212,0.092,0.12
1112.0,0,1.0,0.24,0.12,0.12
1193.0,0,0.0,0.166,0.046,0.12
1226.0,0,1.0,0.256,0.136,0.12
1309.0,0,1.0,0.208,0.088,0.12
1438.0,0,1.0,0.196,0.076,0.12
1508.0,0,0.0,0.188,0.068,0.12
1725.0,0,1.0,0.46,0.34,0.12
1812.0,0,1.0,0.256,0.136,0.12
1998.0,0,1.0,0.488,0.368,0.12
