energy,L,J,totalWidth,neutronWidth,captureWidth,fissionWidth
-1.0,0,3.0,0.1286,0.0001,0.041,0.0875
0.609,0,2.0,0.0422484,0.0001584,0.041,0.00109
1.254,0,3.0,0.05416,0.00016,0.041,0.013
1.42,0,3.0,0.05301,1e-05,0.041,0.012
1.72,0,3.0,0.02506429,6.429e-05,0.023,0.002
1.96,0,2.0,0.0442232,0.0002232,0.037,0.007
2.67,0,3.0,0.0510137,1.37e-05,0.041,0.01
3.18,0,2.0,0.04292,0.00012,0.041,0.0018
4.16,0,3.0,0.091166,0.001166,0.041,0.049
4.75,0,3.0,0.04103171,3.171e-05,0.041,0.0
5.58,0,3.0,0.0524971,0.0004971,0.04,0.012
6.95,0,2.0,0.055912,0.000912,0.04,0.015
8.27,0,3.0,0.0671371,0.0001371,0.041,0.026
9.15,0,2.0,0.341432,0.000432,0.041,0.3
12.6,0,2.0,0.177668,0.001668,0.041,0.135
14.6,0,3.0,0.0932743,0.0002743,0.04,0.053
15.4,0,3.0,0.061143,0.002143,0.04,0.019
