energy,L,J,totalWidth,neutronWidth,captureWidth
-5.0,0,0.5,0.0273,0.0013,0.026
1.431,0,0.5,0.028,0.00039,0.02761
17.3,0,0.5,0.04164,0.0121,0.02954
23.84,0,0.5,0.0407,0.0098,0.0309
32.43,0,0.5,0.0333,0.0034,0.0299
39.9,0,0.5,0.037,0.0079,0.0291
48.22,0,0.5,0.0405,0.0115,0.029
64.7,0,0.5,0.03186,0.00286,0.029
75.8,0,0.5,0.0335,0.0045,0.029
83.5,0,0.5,0.0546,0.0256,0.029
102.8,0,0.5,0.0369,0.0079,0.029
108.7,0,0.5,0.03061,0.00161,0.029
116.4,0,0.5,0.066,0.037,0.029
133.8,0,0.5,0.0365,0.0075,0.029
139.0,0,0.5,0.03135,0.00235,0.029
148.2,0,0.5,0.03485,0.00585,0.029
172.3,0,0.5,0.0373,0.0083,0.029
183.8,0,0.5,0.0686,0.0396,0.029
193.6,0,0.5,0.1085,0.0795,0.029
207.4,0,0.5,0.1575,0.1285,0.029
223.0,0,0.5,0.0718,0.0428,0.029
240.0,0,0.5,0.0656,0.0366,0.029
267.0,0,0.5,0.122,0.093,0.029
294.0,0,0.5,0.1515,0.1225,0.029
346.0,0,0.5,0.199,0.17,0.029
400.0,0,0.5,0.168,0.139,0.029
458.0,0,0.5,0.2895,0.2605,0.029
485.0,0,0.5,0.152,0.123,0.029
563.0,0,0.5,0.245,0.216,0.029
