energy,L,J,totalWidth,neutronWidth,captureWidth
-8173.0,0,2.0,1758.6,1757.5,1.1
-2272.0,0,2.0,12.57,11.07,1.5
3078.0,0,3.0,121.27,120.0,1.27
4192.0,1,3.0,1.83,1.3,0.53
8128.0,0,2.0,60.8,60.0,0.8
8343.0,0,2.0,121.4,120.0,1.4
10540.0,0,3.0,59.5,58.3,1.2
12140.0,0,3.0,112.6,111.5,1.1
12164.0,0,2.0,22.4,21.6,0.8
12830.0,0,2.0,157.8,156.0,1.8
16380.0,0,3.0,318.1,317.0,1.1
17420.0,0,2.0,49.71,48.0,1.71
19090.0,0,3.0,20.64,19.7,0.94
21270.0,0,2.0,63.9,62.4,1.5
21930.0,1,3.0,0.883,0.083,0.8
23220.0,1,3.0,0.73,0.09,0.64
23760.0,1,2.0,0.234,0.024,0.21
24140.0,1,2.0,17.84,17.0,0.84
27120.0,0,2.0,121.19,120.0,1.19
27170.0,0,3.0,859.19,858.0,1.19
30230.0,0,2.0,75.19,74.0,1.19
32610.0,0,2.0,599.16,598.0,1.16
37040.0,1,4.0,600.48,600.0,0.48
38120.0,0,3.0,86.6,86.0,0.6
40550.0,0,3.0,645.0,643.0,2.0
41060.0,0,2.0,57.86,57.6,0.26
42360.0,0,2.0,602.0,600.0,2.0
47560.0,0,3.0,687.2,686.0,1.2
49330.0,0,3.0,284.7,283.0,1.7
51340.0,0,3.0,198.1,197.0,1.1
55390.0,0,3.0,258.19,257.0,1.19
60450.0,0,2.0,90.1,88.8,1.3
61880.0,0,2.0,213.4,212.0,1.4
63400.0,0,3.0,97.4,96.9,0.5
63800.0,0,3.0,54.29,53.1,1.19
71880.0,0,3.0,572.19,571.0,1.19
73800.0,0,2.0,100.7,100.0,0.7
74750.0,0,2.0,130.32,128.0,2.32
