energy,L,J,totalWidth,neutronWidth,captureWidth
-4909.0,0,0.0,40.47,39.24,1.23
44.61,1,2.0,0.2200192,1.92e-05,0.22
1445.0,1,1.0,0.33033,0.00033,0.33
2793.5,0,0.0,6.6,4.4,2.2
3039.0,0,1.0,5.793334,4.933333,0.86
3960.0,1,1.0,0.3318773,0.001877286,0.33
4415.0,1,2.0,0.3340491,0.004049079,0.33
4427.0,1,1.0,0.3466684,0.01666808,0.3300003
5098.0,0,0.0,2.187,1.8,0.387
5395.0,1,1.0,0.3326884,0.002688391,0.33
6330.0,1,1.0,0.3325529,0.002552932,0.33
6656.0,1,1.0,0.4141734,0.08417342,0.33
8436.0,1,1.0,1.28514,0.2666667,1.018474
10182.0,1,2.0,0.522,0.504,0.018
11757.0,1,2.0,0.53,0.424,0.106
12360.0,1,1.0,0.4524931,0.1224931,0.33
12397.0,1,2.0,0.3334762,0.003476237,0.33
13254.0,1,1.0,1.293333,1.066667,0.2266667
13547.0,1,2.0,0.3356139,0.005613905,0.33
14210.0,1,1.0,0.3459334,0.01593393,0.3299995
14499.0,1,2.0,0.3880415,0.05804162,0.3299999
15464.0,1,2.0,0.3399724,0.009972528,0.3299999
16238.0,1,1.0,0.5586525,0.2286525,0.33
16523.0,0,1.0,50.17333,49.33333,0.84
16830.0,1,1.0,0.4262787,0.0962787,0.33
17443.0,0,1.0,41.1,40.0,1.1
18622.0,1,2.0,0.3370264,0.007026492,0.3299999
18651.0,1,1.0,3.313334,2.933333,0.38
19290.0,1,1.0,0.5792553,0.2492553,0.33
20346.0,1,1.0,0.3732862,0.0432861,0.3300001
20737.0,0,1.0,153.8048,152.2668,1.538047
20817.0,1,2.0,0.3949085,0.06490862,0.3299999
21037.0,1,2.0,0.3301601,0.0001600776,0.33
21079.0,1,2.0,2.315669,2.28,0.03566944
22932.0,1,2.0,1.332653,1.12,0.2126534
23574.0,1,0.0,145.8587,144.4001,1.458586
24040.0,0,1.0,18.75818,18.66667,0.09151312
24706.0,1,2.0,0.3578473,0.027847,0.3300003
25830.0,1,1.0,1.28622,0.9562204,0.33
26767.0,1,2.0,2.932519,2.84,0.09251891
27259.0,1,2.0,0.3880415,0.05804162,0.3299999
27866.0,1,2.0,0.7512417,0.4212417,0.33
28559.0,1,2.0,3.11,2.84,0.27
29656.0,0,1.0,49.2,48.0,1.2
30239.0,1,1.0,1.585922,1.255922,0.33
31120.0,0,0.0,70.67,70.0,0.67
31509.0,1,2.0,0.3972133,0.0672133,0.33
32877.0,0,1.0,11.03333,9.533334,1.5
33711.0,1,2.0,0.4249922,0.0949922,0.33
34432.0,1,2.0,9.647353,9.6,0.04735242
34820.0,1,1.0,6.033333,5.866667,0.1666667
35162.0,1,1.0,0.4630102,0.1330102,0.33
36440.0,1,1.0,6.286667,6.066667,0.22
36649.0,1,2.0,0.6090604,0.2790604,0.33
37965.0,1,2.0,0.510788,0.180788,0.33
39051.0,1,2.0,0.4441273,0.1141272,0.33
39195.0,0,1.0,149.6298,148.1335,1.496296
39445.0,1,1.0,0.4710208,0.1410208,0.33
40127.0,1,2.0,5.1,4.2,0.9
41920.0,0,1.0,568.5967,566.6667,1.93
44428.0,1,2.0,0.4606599,0.1306599,0.33
44919.0,1,2.0,8.830667,8.8,0.03066649
45267.0,1,2.0,0.4835702,0.1535701,0.3300001
45400.0,1,1.0,1.126552,0.7965517,0.33
45435.0,1,2.0,0.3731494,0.04314967,0.3299997
45761.0,1,2.0,0.4339338,0.1039337,0.3300001
47194.0,1,0.0,103.9597,102.9201,1.039596
47715.0,1,2.0,0.4213093,0.09130919,0.3300001
47816.0,0,0.0,57.3,56.0,1.3
48737.0,1,1.0,70.97649,70.26673,0.7097643
49390.0,1,2.0,8.848001,8.8,0.048
50371.0,1,2.0,0.3301601,0.0001600776,0.33
50500.0,0,1.0,481.8,480.0,1.8
51152.0,1,1.0,0.4721098,0.1421098,0.33
52578.0,0,1.0,3.975033,2.875032,1.1
53230.0,1,1.0,0.6939253,0.3639252,0.33
53826.0,1,1.0,18.83333,18.66667,0.1666667
54250.0,0,0.0,229.5,220.0,9.5
54310.0,1,2.0,0.4315948,0.1015948,0.33
56262.0,1,2.0,0.4317317,0.1017317,0.33
56645.0,1,1.0,51.04382,50.53338,0.5104377
56917.0,1,2.0,0.4232743,0.09327425,0.33
58800.0,1,1.0,70.2627,69.56007,0.7026263
59031.0,1,1.0,37.76435,37.3867,0.3776431
61103.0,1,1.0,63.12464,62.49339,0.6312458
62345.0,0,1.0,452.02,450.0,2.02
63019.0,1,1.0,61.29299,60.68006,0.6129292
63299.0,1,2.0,0.378651,0.0486509,0.3300001
64358.0,1,2.0,0.4041715,0.07417162,0.3299999
64916.0,0,1.0,8.333328,7.233328,1.1
65302.0,0,1.0,550.77,550.0,0.77
66163.0,1,1.0,0.480724,0.1507239,0.33
66394.0,1,2.0,0.6063474,0.2763474,0.33
66726.0,1,1.0,43.13809,42.70671,0.4313805
67440.0,1,0.0,45.56772,45.11204,0.4556768
68580.0,1,2.0,1.298903,0.9689026,0.33
68739.0,0,1.0,124.7678,123.5201,1.247677
68950.0,0,1.0,282.2,280.0,2.2
70274.0,1,2.0,0.4597265,0.1297264,0.33
71552.0,0,0.0,353.9397,350.4003,3.539394
72200.0,0,1.0,274.613,271.8669,2.746128
72241.0,0,0.0,219.8386,217.6402,2.198384
73137.0,1,2.0,0.3361127,0.006111111,0.3300016
74100.0,1,2.0,0.4494058,0.1194057,0.3300001
75200.0,0,1.0,66.87998,66.0,0.8799784
75750.0,1,1.0,0.6602668,0.3302668,0.33
76130.0,0,1.0,61.34838,60.66667,0.6817085
76405.0,0,1.0,129.32,128.0268,1.293199
77177.0,0,1.0,54.01772,52.91772,1.1
78060.0,1,1.0,0.5488911,0.2188911,0.33
78780.0,0,1.0,400.3033,400.0,0.3032965
79640.0,1,1.0,0.387269,0.05726885,0.3300001
81640.0,1,0.0,63.2,62.4,0.8
83245.0,1,1.0,61.13137,60.52006,0.6113132
83412.0,0,1.0,169.2392,167.5468,1.692391
83665.0,1,2.0,0.4611281,0.131128,0.33
