energy,L,J,totalWidth,neutronWidth,captureWidth
-20.13,0,1.0,0.23737,0.151,0.08637
3.906,0,1.0,0.1098667,0.007466666,0.1024
14.32,0,0.0,0.10622,0.00912,0.0971
17.42,0,0.0,0.08714,0.00574,0.0814
28.9,0,1.0,0.09520666,0.0002066667,0.095
34.79,0,1.0,0.09186667,0.005866667,0.086
37.51,0,1.0,0.08646,0.00046,0.086
44.79,0,1.0,0.09646667,0.003466667,0.093
50.58,0,1.0,0.08440001,0.0054,0.079
59.07,0,1.0,0.094,0.01,0.084
62.97,0,1.0,0.079,0.001,0.078
65.75,0,0.0,0.196,0.113,0.083
83.18,0,1.0,0.09253334,0.007533334,0.085
94.1,0,1.0,0.118,0.032,0.086
95.4,0,0.0,0.0748,0.0038,0.071
101.5,0,1.0,0.08686667,0.0008666667,0.086
114.0,0,1.0,0.0892,0.0032,0.086
115.1,0,1.0,0.1183333,0.01733333,0.101
124.8,0,0.0,0.146,0.034,0.112
131.8,0,1.0,0.08666667,0.0006666667,0.086
135.6,0,1.0,0.113,0.022,0.091
153.0,0,0.0,0.265,0.178,0.087
160.2,0,1.0,0.0874,0.0014,0.086
163.8,0,1.0,0.09193334,0.005933333,0.086
207.0,0,1.0,0.1,0.014,0.086
209.0,0,0.0,0.09540001,0.0094,0.086
213.3,0,1.0,0.1133333,0.02733333,0.086
223.0,0,0.0,0.11,0.024,0.086
227.0,0,1.0,0.0904,0.0044,0.086
238.0,0,1.0,0.1,0.014,0.086
243.0,0,1.0,0.09133334,0.005333334,0.086
250.1,0,1.0,0.158,0.072,0.086
250.8,0,1.0,0.446,0.36,0.086
259.5,0,1.0,0.07966667,0.01266667,0.067
273.0,0,1.0,0.1103333,0.01733333,0.093
282.7,0,1.0,0.1343333,0.04733333,0.087
287.9,0,0.0,0.238,0.138,0.1
295.4,0,0.0,0.1046,0.0186,0.086
296.4,0,1.0,0.1196667,0.01266667,0.107
318.5,0,1.0,0.16,0.048,0.112
319.2,0,0.0,0.218,0.106,0.112
324.0,0,1.0,0.091,0.008,0.083
332.3,0,1.0,0.1543333,0.04333333,0.111
345.7,0,1.0,0.1486667,0.01866667,0.13
356.8,0,0.0,0.19,0.088,0.102
363.2,0,1.0,0.08793334,0.001933333,0.086
376.2,0,1.0,0.1203333,0.01133333,0.109
377.7,0,0.0,0.126,0.04,0.086
389.7,0,0.0,0.24,0.112,0.128
399.3,0,1.0,0.09026667,0.004266667,0.086
407.5,0,1.0,0.3203333,0.1533333,0.167
413.6,0,0.0,0.552,0.402,0.15
415.4,0,1.0,0.118,0.032,0.086
439.8,0,1.0,0.1196667,0.03866667,0.081
454.7,0,1.0,0.09093334,0.004933333,0.086
458.8,0,1.0,0.07533333,0.009333334,0.066
466.8,0,1.0,0.08,0.024,0.056
470.6,0,0.0,0.089,0.032,0.057
491.8,0,1.0,0.09146667,0.005466667,0.086
511.2,0,1.0,0.1586667,0.03866667,0.12
518.1,0,0.0,0.365,0.22,0.145
541.5,0,1.0,0.0916,0.0056,0.086
548.4,0,1.0,0.1103333,0.02533333,0.085
555.5,0,1.0,0.169,0.05,0.119
564.1,0,1.0,0.2033333,0.09333333,0.11
572.1,0,1.0,0.1846667,0.06866667,0.116
577.3,0,0.0,0.098,0.012,0.086
584.9,0,0.0,0.666,0.58,0.086
591.0,0,1.0,0.141,0.026,0.115
597.9,0,1.0,0.1606667,0.08466667,0.076
606.1,0,1.0,0.1223333,0.02133333,0.101
623.7,0,1.0,0.151,0.058,0.093
629.9,0,1.0,0.112,0.028,0.084
641.2,0,1.0,0.1003333,0.02133333,0.079
657.5,0,0.0,0.194,0.108,0.086
667.8,0,1.0,0.08993334,0.003933333,0.086
671.9,0,1.0,0.2523333,0.1333333,0.119
676.2,0,1.0,0.3453333,0.2533333,0.092
685.0,0,1.0,0.09733333,0.01133333,0.086
693.7,0,1.0,0.1,0.014,0.086
705.5,0,1.0,0.09086667,0.004866667,0.086
712.1,0,0.0,0.356,0.27,0.086
714.3,0,1.0,0.2693333,0.1833333,0.086
723.0,0,0.0,0.1086,0.0226,0.086
730.3,0,1.0,0.15,0.032,0.118
737.3,0,1.0,0.1346667,0.01666667,0.118
746.9,0,1.0,0.08666667,0.0006666667,0.086
758.4,0,0.0,0.184,0.098,0.086
763.6,0,1.0,0.0914,0.0054,0.086
785.1,0,1.0,0.108,0.022,0.086
787.1,0,0.0,0.1032,0.0172,0.086
800.3,0,1.0,0.1033333,0.01733333,0.086
806.3,0,1.0,0.116,0.03,0.086
826.3,0,1.0,0.1073333,0.02133333,0.086
831.9,0,1.0,0.1226667,0.03666667,0.086
840.0,0,1.0,0.2526667,0.1666667,0.086
848.2,0,0.0,0.146,0.06,0.086
851.2,0,1.0,0.106,0.02,0.086
864.8,0,1.0,0.09266667,0.006666666,0.086
878.3,0,0.0,0.336,0.25,0.086
888.2,0,0.0,0.17,0.084,0.086
894.4,0,1.0,0.09266667,0.006666666,0.086
908.5,0,1.0,0.1233333,0.03733334,0.086
931.3,0,1.0,0.1373333,0.05133333,0.086
937.3,0,1.0,0.1226667,0.03666667,0.086
946.0,0,1.0,0.1073333,0.02133333,0.086
952.0,0,0.0,0.089,0.003,0.086
960.0,0,0.0,0.366,0.28,0.086
961.0,0,0.0,0.206,0.12,0.086
982.0,0,0.0,0.286,0.2,0.086
986.0,0,1.0,0.1193333,0.03333334,0.086
995.0,0,1.0,0.1626667,0.07666667,0.086
1003.0,0,1.0,0.2793333,0.1933333,0.086
1006.0,0,1.0,0.2193333,0.1333333,0.086
1012.0,0,1.0,0.2793333,0.1933333,0.086
1023.0,0,1.0,0.1046667,0.01866667,0.086
1034.0,0,1.0,0.146,0.06,0.086
1040.0,0,1.0,0.1593333,0.07333333,0.086
1042.0,0,1.0,0.08786667,0.001866667,0.086
1046.0,0,1.0,0.09533334,0.009333334,0.086
1054.0,0,0.0,0.126,0.04,0.086
1059.0,0,1.0,0.09,0.004,0.086
1065.0,0,1.0,0.1526667,0.06666667,0.086
1081.0,0,1.0,0.0892,0.0032,0.086
1086.0,0,1.0,0.106,0.02,0.086
1095.0,0,1.0,0.166,0.08,0.086
1114.0,0,1.0,0.0892,0.0032,0.086
1118.0,0,1.0,0.0902,0.0042,0.086
1125.0,0,0.0,0.166,0.08,0.086
1131.0,0,1.0,0.116,0.03,0.086
1144.0,0,0.0,0.154,0.068,0.086
1153.0,0,0.0,0.246,0.16,0.086
1175.0,0,1.0,0.09186667,0.005866667,0.086
1188.0,0,1.0,0.2493333,0.1633333,0.086
1196.0,0,1.0,0.1793333,0.09333333,0.086
1200.0,0,1.0,0.2626667,0.1766667,0.086
1214.0,0,1.0,0.1406667,0.05466667,0.086
1232.0,0,1.0,0.09266667,0.006666666,0.086
1260.0,0,1.0,0.1133333,0.02733333,0.086
