energy,L,J,totalWidth,neutronWidth,captureWidth,fissionWidth
-0.6,0,0.5,0.071148,0.000128,0.04,0.03102
5.98,0,0.5,0.0665,0.0015,0.04,0.025
12.7,0,0.5,0.311,0.007,0.04,0.264
20.8,0,0.5,0.5419,0.0019,0.04,0.5
23.7,0,0.5,0.1255,0.0055,0.04,0.08
24.75,0,0.5,1.1905,0.0005,0.04,1.15
27.6,0,0.5,0.1924,0.0024,0.04,0.15
29.65,0,0.5,0.94085,0.00085,0.04,0.9
34.2,0,0.5,0.40059,0.00059,0.04,0.36
40.0,0,0.5,2.64025,0.00025,0.04,2.6
43.13,0,0.5,0.2259,0.0079,0.04,0.178
47.61,0,0.5,0.38106,0.00106,0.04,0.34
52.48,0,0.5,0.326,0.002,0.04,0.284
72.35,0,0.5,0.979702,0.00037,0.04,0.939332
74.4,0,0.5,0.581707,0.0213,0.04,0.520407
81.5,0,0.5,0.090027,2.7e-05,0.04,0.05
82.1,0,0.5,0.8400063,6.3e-06,0.04,0.8
90.65,0,0.5,0.140014,1.4e-05,0.04,0.1
91.85,0,0.5,0.090025,2.5e-05,0.04,0.05
102.9,0,0.5,0.197642,0.0024,0.04,0.155242
106.3,0,0.5,0.197748,0.007,0.04,0.150748
107.3,0,0.5,0.1436,0.0036,0.04,0.1
112.8,0,0.5,0.174827,0.0038,0.04,0.131027
118.0,0,0.5,0.140019,1.9e-05,0.04,0.1
124.0,0,0.5,0.0948015,0.0026,0.04,0.0522015
128.2,0,0.5,0.4615,0.0215,0.04,0.4
131.5,0,0.5,0.248055,0.0019,0.04,0.206155
141.7,0,0.5,0.415953,0.0224,0.04,0.353553
149.4,0,0.5,0.265807,0.0022,0.04,0.223607
155.3,0,0.5,1.02592,0.0106,0.04,0.97532
156.7,0,0.5,0.12575,0.00175,0.04,0.084
160.0,0,0.5,0.2400063,6.3e-06,0.04,0.2
163.6,0,0.5,0.791955,0.00029,0.04,0.751665
165.6,0,0.5,1.94285,0.00022,0.04,1.90263
168.0,0,0.5,0.167553,7.8e-05,0.04,0.127475
174.1,0,0.5,1.51571,0.0055,0.04,1.47021
185.6,0,0.5,1.016615,0.0253,0.04,0.951315
188.0,0,0.5,0.194469,0.0024,0.04,0.152069
197.3,0,0.5,0.401555,0.001,0.04,0.360555
202.0,0,0.5,0.893499,0.00203,0.04,0.851469
206.5,0,0.5,1.49128,0.00042,0.04,1.45086
210.5,0,0.5,1.54015,0.00015,0.04,1.5
213.2,0,0.5,0.522557,0.0069,0.04,0.475657
