energy,L,J,totalWidth,neutronWidth,captureWidth
-5971.1,1,4.0,1.394762,0.01474209,1.312729
-5950.563,1,5.0,1.335923,0.01395264,1.242431
-4954.347,1,2.0,1.493573,0.01621755,1.444113
-4216.829,1,4.0,1.361523,0.01474209,1.312729
-4176.43,0,3.0,65.03678,0.01694941,1.509282
-3874.626,0,4.0,71.35741,0.01678944,1.495038
-3631.361,1,5.0,1.287134,0.01395264,1.242431
-3341.399,1,2.0,1.471565,0.01621755,1.444113
-2937.041,1,3.0,1.401355,0.01545793,1.376472
-2639.948,0,3.0,175.1919,0.01694941,1.509282
-2462.559,1,4.0,1.313133,0.01474209,1.312729
-2120.356,0,4.0,1.842414,0.01678944,1.495038
-1728.451,1,2.0,1.444225,0.01621755,1.444113
-1400.558,1,3.0,1.377616,0.01545793,1.376472
-1312.158,1,5.0,1.254003,0.01395264,1.242431
-427.2217,0,3.0,1.638998,0.01694941,1.509282
-371.5466,0,4.0,74.97116,0.01678944,1.495038
-284.1611,1,3.0,1.37731,0.01545793,1.376472
223.3926,0,3.0,52.03273,3.786372,1.509282
742.9838,0,4.0,1.700667,12.47429,1.495038
2436.118,0,3.0,1.819035,41.29075,1.509282
2491.793,0,4.0,191.7761,41.83582,1.495038
3086.733,0,3.0,189.3147,52.31829,1.509282
3606.324,0,4.0,1.948069,60.54817,1.495038
4414.521,1,5.0,1.313556,61.59421,1.242431
5018.392,1,4.0,1.376012,73.98161,1.312729
5299.458,0,3.0,1.966141,89.82266,1.509282
5355.134,0,4.0,280.4439,89.90972,1.495038
5442.519,1,3.0,1.446229,84.1301,1.376472
5611.178,1,2.0,1.503678,90.99956,1.444113
6733.724,1,5.0,1.354862,93.95322,1.242431
6772.662,1,4.0,1.411721,99.84322,1.312729
6835.941,0,3.0,82.78453,115.8651,1.509282
6979.001,1,3.0,1.467143,107.8809,1.376472
7109.404,0,4.0,96.12856,119.3629,1.495038
7224.126,1,2.0,1.530947,117.1576,1.444113
9052.926,1,5.0,1.417172,126.3122,1.242431
