energy,L,J,totalWidth,neutronWidth,captureWidth
-6.1663,1,4.0,0.0650647,3.989918e-09,0.0650647
-4.991808,1,3.0,0.06783509,1.42733e-10,0.06783509
-4.678301,1,4.0,0.0650647,2.99903e-10,0.0650647
-3.999804,1,3.0,0.06783509,1.33657e-10,0.06783509
-3.560442,1,6.0,0.05998159,2.00817e-10,0.05998159
-3.399668,1,5.0,0.06274881,8.52196e-10,0.06274881
-3.282557,1,4.0,0.0650647,7.1809e-11,0.0650647
-3.236124,0,5.0,0.06242427,2.331786e-05,0.06240095
-3.123461,1,5.0,0.06274881,2.18017e-11,0.06274881
-2.807802,0,4.0,0.06542166,0.000584307,0.06483735
-2.160288,1,6.0,0.05998159,1.42993e-11,0.05998159
-2.107165,1,3.0,0.06783509,6.84129e-11,0.06783509
-1.670046,0,4.0,0.0649779,0.0001405478,0.06483735
-1.404627,0,5.0,0.06241127,1.032283e-05,0.06240095
-1.082644,1,6.0,0.05998159,1.19335e-10,0.05998159
-0.6011298,0,5.0,0.06245219,5.12384e-05,0.06240095
-0.444895,1,5.0,0.06274881,1.52998e-12,0.06274881
-0.1257117,0,4.0,0.06483752,1.687091e-07,0.06483735
2.001603,0,5.0,0.06275248,0.0003515312,0.06240095
2.789765,0,5.0,0.06254318,0.0001422301,0.06240095
3.382278,0,4.0,0.06489088,5.353406e-05,0.06483735
3.854403,0,5.0,0.06305799,0.0006570423,0.06240095
4.259324,0,4.0,0.06488408,4.672922e-05,0.06483735
5.103568,0,4.0,0.06487684,3.949494e-05,0.06483735
6.078474,0,5.0,0.06434663,0.001945679,0.06240095
6.360921,0,5.0,0.06266387,0.0002629243,0.06240095
7.376558,0,4.0,0.06556694,0.0007295946,0.06483735
9.349375,0,5.0,0.06262342,0.0002224747,0.06240095
10.14452,0,4.0,0.0648659,2.855409e-05,0.06483735
11.57366,0,4.0,0.06488334,4.598769e-05,0.06483735
11.93132,0,5.0,0.06319539,0.0007944434,0.06240095
13.49719,0,4.0,0.06652893,0.001691577,0.06483735
13.92744,0,5.0,0.06288845,0.0004875044,0.06240095
14.69341,0,4.0,0.06483788,5.272167e-07,0.06483735
15.48632,0,4.0,0.06486125,2.389911e-05,0.06483735
15.69615,0,5.0,0.06263886,0.0002379051,0.06240095
16.10003,0,5.0,0.06257568,0.0001747324,0.06240095
18.81736,0,4.0,0.06491861,8.126221e-05,0.06483735
19.00213,0,5.0,0.062574,0.0001730534,0.06240095
19.87773,0,4.0,0.0648375,1.479816e-07,0.06483735
20.94962,0,5.0,0.06316014,0.0007591882,0.06240095
21.12239,0,4.0,0.06485407,1.672064e-05,0.06483735
23.8868,0,5.0,0.06248082,7.987398e-05,0.06240095
24.50825,0,4.0,0.06607569,0.001238343,0.06483735
25.27859,0,5.0,0.06240669,5.744695e-06,0.06240095
25.40015,0,4.0,0.06542358,0.0005862288,0.06483735
26.48037,0,5.0,0.06474705,0.002346102,0.06240095
26.9849,0,5.0,0.0626355,0.0002345472,0.06240095
27.34625,0,4.0,0.06519861,0.000361258,0.06483735
27.67245,0,5.0,0.06280096,0.0004000079,0.06240095
28.11832,0,4.0,0.06484235,4.998205e-06,0.06483735
32.04953,0,5.0,0.06241249,1.153931e-05,0.06240095
32.44441,0,5.0,0.06429707,0.001896121,0.06240095
32.54486,0,4.0,0.06485048,1.313373e-05,0.06483735
33.20946,0,4.0,0.06589771,0.00106036,0.06483735
34.90579,0,5.0,0.06260087,0.0001999191,0.06240095
35.47752,0,5.0,0.06300225,0.0006012957,0.06240095
37.29077,0,4.0,0.0680267,0.003189347,0.06483735
37.33312,0,5.0,0.06333518,0.0009342316,0.06240095
37.49866,0,5.0,0.06273923,0.000338276,0.06240095
37.98951,0,4.0,0.06705652,0.002219172,0.06483735
39.20426,0,4.0,0.06499139,0.0001540424,0.06483735
40.69032,0,4.0,0.0649015,6.415031e-05,0.06483735
43.11565,0,5.0,0.06240197,1.020567e-06,0.06240095
43.60221,0,5.0,0.06240102,7.127198e-08,0.06240095
44.3199,0,4.0,0.06540305,0.0005656999,0.06483735
45.30798,0,5.0,0.06244623,4.528416e-05,0.06240095
45.82327,0,5.0,0.06247516,7.421329e-05,0.06240095
