energy,L,J,totalWidth,neutronWidth,captureWidth
-12.0,0,0.5,0.06949,0.00949,0.06
430.19,0,0.5,0.23,0.17,0.06
640.6,0,0.5,0.91,0.85,0.06
703.48,0,0.5,0.111,0.051,0.06
941.0,0,0.5,0.11,0.05,0.06
1113.7,0,0.5,0.145,0.085,0.06
1372.9,0,0.5,0.109,0.049,0.06
1399.8,0,0.5,0.17,0.11,0.06
1484.1,0,0.5,2.39,2.3,0.09
1765.0,0,0.5,0.24,0.18,0.06
2431.5,0,0.5,2.16,2.1,0.06
2542.6,0,0.5,0.54,0.48,0.06
2578.0,0,0.5,0.58,0.52,0.06
2617.5,0,0.5,0.49,0.43,0.06
2644.9,0,0.5,1.76,1.7,0.06
2980.4,0,0.5,2.36,2.3,0.06
3003.2,0,0.5,2.16,2.1,0.06
3257.3,0,0.5,1.31,1.25,0.06
3563.9,0,0.5,4.66,4.6,0.06
