energy,L,J,totalWidth,neutronWidth,captureWidth
-150.0,0,2.5,3.025,2.903,0.122
430.0,1,3.5,0.273875,0.001875,0.272
860.0,1,3.5,0.27575,0.00375,0.272
960.0,0,2.5,1.188667,1.066667,0.122
1290.0,1,2.5,0.4386667,0.1666667,0.272
1720.0,1,3.5,0.622,0.35,0.272
1920.0,0,1.5,40.872,40.75,0.122
2150.0,1,3.5,0.316375,0.044375,0.272
2580.0,1,2.5,0.4303333,0.1583333,0.272
2880.0,0,1.5,6.372,6.25,0.122
3010.0,1,1.5,2.397,2.125,0.272
3440.0,1,0.5,5.997,5.725,0.272
3840.0,0,2.5,1.205333,1.083333,0.122
3870.0,1,1.5,7.772,7.5,0.272
4300.0,1,2.5,2.855333,2.583333,0.272
4730.0,1,2.5,1.522,1.25,0.272
4800.0,0,1.5,3.747,3.625,0.122
5160.0,1,2.5,16.93867,16.66667,0.272
5590.0,1,0.5,9.522,9.25,0.272
5760.0,0,2.5,41.78867,41.66666,0.122
6020.0,1,3.5,33.397,33.125,0.272
6450.0,1,1.5,4.272,4.0,0.272
6724.0,0,2.5,4.288667,4.166667,0.122
6880.0,1,3.5,5.272,5.0,0.272
7684.0,1,1.5,19.022,18.75,0.272
7688.0,0,1.5,6.872,6.75,0.122
8114.0,1,2.5,6.105333,5.833333,0.272
8544.0,1,3.5,2500.272,2500.0,0.272
8648.0,0,2.5,11.78867,11.66667,0.122
8974.0,1,1.5,1.522,1.25,0.272
9404.0,1,1.5,35.272,35.0,0.272
9612.0,0,2.5,15.95533,15.83333,0.122
9834.0,1,1.5,57.772,57.5,0.272
9999.0,1,3.5,28.397,28.125,0.272
