energy,L,J,totalWidth,neutronWidth,captureWidth
-60.28053,1,2.0,0.07219165,0.0003643071,0.07218996
-56.42183,0,3.0,0.195948,0.0003578171,0.07090391
-51.77382,1,3.0,0.06932852,0.0003498652,0.0693282
-47.58174,1,5.0,0.06238724,0.0003148368,0.06238707
-47.31569,1,2.0,0.07219033,0.0003643071,0.07218996
-35.47773,1,5.0,0.06238726,0.0003148368,0.06238707
-32.00428,0,4.0,0.06689474,0.0003341127,0.06620672
-30.95478,1,2.0,0.07218997,0.0003643071,0.07218996
-26.37293,1,4.0,0.06573738,0.000331744,0.06573736
-24.91914,1,3.0,0.06932992,0.0003498652,0.0693282
-22.76277,0,3.0,0.07112465,0.0003578171,0.07090391
-22.17512,0,4.0,0.06797175,0.0003341127,0.06620672
-15.53425,1,4.0,0.06573736,0.000331744,0.06573736
-12.98719,1,5.0,0.06238716,0.0003148368,0.06238707
-11.02155,1,3.0,0.06932834,0.0003498652,0.0693282
-6.87916,0,3.0,0.0778199,0.0003578171,0.07090391
-3.465159,1,4.0,0.06573736,0.000331744,0.06573736
-0.4779761,0,4.0,0.07211307,0.0003341127,0.06620672
3.923057,0,4.0,0.07036745,0.001310743,0.06620672
17.8729,0,3.0,0.09812441,0.006395229,0.07090391
18.24524,0,4.0,0.08293875,0.006095965,0.06620672
19.41737,0,4.0,0.08394621,0.006487589,0.06620672
32.28742,0,3.0,0.1059957,0.01155299,0.07090391
39.24115,0,4.0,0.09708534,0.01311097,0.06620672
44.35078,0,4.0,0.08521514,0.01481816,0.06620672
55.22896,0,3.0,0.1365456,0.01976186,0.07090391
78.54844,0,4.0,0.1523719,0.02624403,0.06620672
85.72974,0,4.0,0.06666507,0.02864339,0.06620672
87.03936,0,3.0,0.07801361,0.03114417,0.07090391
102.3253,0,3.0,0.1871398,0.03661374,0.07090391
102.9733,0,4.0,0.07522883,0.03440468,0.06620672
108.5081,0,3.0,0.07379856,0.03882605,0.07090391
