energy,L,J,totalWidth,neutronWidth,captureWidth
-5000.0,0,0.5,311.315,311.0,0.315
281.0,1,0.5,0.3,0.006,0.294
2627.0,0,0.5,68.5,68.0,0.5
4170.0,0,0.5,20.076,19.4,0.676
4185.0,1,0.5,0.225,0.005,0.22
4480.0,1,0.5,0.26,0.04,0.22
5199.0,1,1.5,0.405,0.185,0.22
5967.0,1,0.5,0.308,0.06,0.248
6345.0,1,0.5,0.224,0.004,0.22
6705.0,1,0.5,0.225,0.005,0.22
8411.0,1,1.5,0.434,0.245,0.189
8790.0,1,1.5,0.485,0.265,0.22
10044.0,1,0.5,0.224,0.004,0.22
10657.0,1,0.5,0.224,0.004,0.22
10775.0,0,0.5,96.452,96.0,0.452
10880.0,1,0.5,0.224,0.004,0.22
11040.0,1,0.5,0.233,0.013,0.22
12163.0,1,0.5,0.39,0.17,0.22
12659.0,1,0.5,0.227,0.007,0.22
13019.0,0,0.5,190.927,190.0,0.927
13943.0,1,1.5,0.847,0.5,0.347
14763.0,2,2.5,0.221964,0.001964,0.22
15212.0,0,0.5,110.713,110.0,0.713
16990.0,1,1.5,0.817,0.47,0.347
18354.0,2,2.5,0.22292,0.00292,0.22
18436.0,1,1.5,0.905,0.55,0.355
18600.0,1,0.5,0.237,0.017,0.22
20159.0,1,1.5,0.982,0.55,0.432
21270.0,1,1.5,0.685,0.465,0.22
21316.0,0,0.5,67.308,67.0,0.308
21775.0,2,2.5,0.224169,0.004169,0.22
22184.0,1,1.5,1.917,1.65,0.267
22676.0,0,0.5,78.474,78.0,0.474
23127.0,1,0.5,0.223,0.003,0.22
25750.0,1,0.5,0.56,0.34,0.22
26178.0,1,1.5,0.855,0.7,0.155
28468.0,1,1.5,0.654,0.5,0.154
28540.0,1,1.5,0.68,0.46,0.22
28850.0,2,2.5,0.224169,0.004169,0.22
29100.0,0,0.5,56.492,56.0,0.492
29540.0,1,0.5,0.53,0.31,0.22
29640.0,0,0.5,79.433,79.0,0.433
30590.0,1,1.5,1.02,0.8,0.22
30708.0,0,0.5,201.602,201.0,0.602
30775.0,1,1.5,0.455,0.235,0.22
31025.0,1,0.5,0.38,0.16,0.22
31415.0,1,0.5,0.31,0.09,0.22
32450.0,0,0.5,491.472,490.0,1.472
32660.0,2,2.5,0.23189,0.01189,0.22
35160.0,1,1.5,1.27,1.05,0.22
35255.0,1,0.5,1.32,1.1,0.22
35667.0,1,1.5,1.318,1.05,0.268
35960.0,1,0.5,0.29,0.07,0.22
36000.0,1,0.5,0.29,0.07,0.22
36730.0,1,0.5,1.384,1.2,0.184
36750.0,1,1.5,0.55,0.33,0.22
37335.0,1,0.5,0.65,0.43,0.22
38805.0,2,2.5,0.23189,0.01189,0.22
39195.0,1,0.5,0.31,0.09,0.22
39278.0,0,0.5,23.606,23.0,0.606
39440.0,1,1.5,10.21,10.0,0.21
39805.0,1,1.5,0.694,0.5,0.194
40825.0,1,0.5,0.74,0.52,0.22
40905.0,1,0.5,0.31,0.09,0.22
41010.0,0,0.5,52.642,52.0,0.642
42725.0,1,0.5,0.31,0.09,0.22
42775.0,2,2.5,0.23447,0.01447,0.22
43020.0,1,0.5,1.01,0.79,0.22
43605.0,1,0.5,0.33,0.11,0.22
43848.0,1,1.5,1.82,1.55,0.27
44685.0,1,1.5,0.87,0.65,0.22
45150.0,1,0.5,0.32,0.1,0.22
45640.0,1,0.5,0.6,0.38,0.22
45775.0,2,2.5,0.24146,0.02146,0.22
46205.0,2,1.5,0.229565,0.009565,0.22
46495.0,2,2.5,0.226286,0.006286,0.22
46845.0,2,2.5,0.23925,0.01925,0.22
46911.0,1,1.5,6.184,5.9,0.284
47035.0,1,0.5,0.54,0.32,0.22
47360.0,2,1.5,0.224889,0.004889,0.22
47630.0,1,1.5,0.6,0.38,0.22
47955.0,0,0.5,219.585,219.0,0.585
48270.0,2,2.5,0.229167,0.009167,0.22
48970.0,2,2.5,0.226286,0.006286,0.22
49690.0,2,2.5,0.23925,0.01925,0.22
50700.0,0,0.5,125.317,125.0,0.317
51245.0,1,0.5,1.82,1.6,0.22
51875.0,2,2.5,0.23189,0.01189,0.22
52120.0,0,0.5,128.381,128.0,0.381
52425.0,2,1.5,0.25385,0.03385,0.22
52560.0,1,0.5,0.45,0.23,0.22
53709.0,1,1.5,7.299,7.0,0.299
54075.0,1,1.5,0.895,0.675,0.22
54300.0,0,0.5,64.85,64.0,0.85
54760.0,1,0.5,0.41,0.19,0.22
56950.0,1,0.5,0.78,0.56,0.22
57455.0,2,2.5,0.226286,0.006286,0.22
57590.0,2,2.5,0.23925,0.01925,0.22
58190.0,2,2.5,0.24558,0.02558,0.22
58625.0,1,1.5,1.09,0.87,0.22
59190.0,1,1.5,0.65,0.43,0.22
60045.0,1,1.5,0.57,0.35,0.22
60882.0,0,0.5,6.377,6.0,0.377
61310.0,1,0.5,0.84,0.62,0.22
61763.0,1,1.5,6.323,6.0,0.323
62135.0,1,1.5,8.219,8.0,0.219
63375.0,2,2.5,0.25592,0.03592,0.22
64890.0,1,1.5,2.758,2.5,0.258
65160.0,1,0.5,18.546,18.0,0.546
