energy,L,J,totalWidth,neutronWidth,captureWidth
110.43,0,2.0,0.489,0.348,0.141
225.08,1,4.0,0.342,0.012,0.33
669.25,0,2.0,0.24596,0.10596,0.14
693.37,0,2.0,0.91696,0.75396,0.163
882.5,1,3.0,0.2441429,0.008142857,0.236
934.46,1,4.0,0.42,0.084,0.336
1011.0,1,2.0,0.3224,0.08639999,0.236
1283.3,1,2.0,0.26,0.024,0.236
1575.3,1,4.0,0.2656667,0.09066667,0.175
1642.6,1,4.0,0.2746667,0.05066666,0.224
1709.3,1,2.0,0.2624,0.0264,0.236
1743.7,1,3.0,0.4551429,0.2091429,0.246
1803.0,1,4.0,0.435,0.316,0.119
2053.9,1,1.0,1.313,1.06,0.253
2116.2,1,2.0,0.272,0.036,0.236
2320.4,1,3.0,0.4042857,0.1782857,0.226
2359.6,1,4.0,0.2686667,0.03666667,0.232
2404.3,1,2.0,0.2564,0.0204,0.236
2611.6,1,3.0,0.2765715,0.1285714,0.148
2899.3,1,4.0,0.304,0.152,0.152
3009.5,0,2.0,2.0576,1.8876,0.17
3252.0,1,3.0,0.919,0.333,0.586
3512.6,0,2.0,2.8346,2.7096,0.125
3691.0,1,3.0,0.7742857,0.5382857,0.236
3699.1,0,2.0,1.6498,1.4928,0.157
3701.0,1,2.0,0.3112,0.0792,0.232
3997.8,1,2.0,1.5024,1.3104,0.192
4121.1,0,3.0,4.172143,3.857143,0.315
4157.1,1,2.0,0.6028,0.3528,0.25
4290.3,1,2.0,0.2864,0.0504,0.236
4320.3,1,4.0,0.6236666,0.4506667,0.173
4435.6,1,4.0,0.4853334,0.2493333,0.236
4484.7,1,4.0,0.5076666,0.2906667,0.217
4578.3,1,4.0,0.4796667,0.2826667,0.197
4781.0,1,3.0,0.3031428,0.07114286,0.232
5013.1,1,1.0,3.576,3.09,0.486
5028.5,1,1.0,0.907,0.56,0.347
5135.7,0,2.0,1.7016,1.5216,0.18
5541.3,1,4.0,0.2756667,0.1506667,0.125
5678.5,1,1.0,3.559,3.35,0.209
5741.0,0,3.0,4.048857,3.942857,0.106
5879.0,1,3.0,0.2514286,0.01542857,0.236
5922.3,0,3.0,9.103286,8.854286,0.249
5924.0,1,3.0,0.05685715,0.05485715,0.002
5950.0,1,2.0,0.2744,0.0384,0.236
6112.0,1,3.0,0.5895715,0.3535714,0.236
6211.0,0,2.0,2.232,2.124,0.108
6342.0,0,3.0,1.501429,1.371429,0.13
6379.0,0,3.0,0.8032858,0.6942858,0.109
6641.0,1,3.0,1.626429,1.371429,0.255
6770.0,0,3.0,1.486429,1.371429,0.115
