energy,Ar41 + photon [inclusive] width,n + Ar40 width,J,Pi,L
-1000.0,1.15081,4.07123,0.5,1,0
76485.9,1.2,5672.0,0.5,1,0
172267.0,1.2,5550.0,0.5,1,0
220127.0,1.2,1920.0,0.5,1,0
255079.0,1.2,3785.0,0.5,1,0
268716.0,1.2,398.0,0.5,1,0
391347.0,1.2,1290.0,0.5,1,0
445800.0,1.2,67.0,0.5,1,0
517127.0,1.2,144.0,0.5,1,0
596615.0,1.2,4973.0,0.5,1,0
665278.0,1.2,273.0,0.5,1,0
899120.0,1.2,48.0,0.5,1,0
978000.0,1.2,19636.5,0.5,1,0
978500.0,1.2,19636.5,0.5,1,0
1028000.0,1.2,18000.0,0.5,1,0
1081580.0,1.2,795.0,0.5,1,0
1101000.0,1.2,2500.0,0.5,1,0
1133190.0,1.2,13374.0,0.5,1,0
1207000.0,1.2,1200.0,0.5,1,0
1250000.0,1.2,15000.0,0.5,1,0
1252000.0,1.2,15000.0,0.5,1,0
1310000.0,1.2,30000.0,0.5,1,0
1325970.0,1.2,20000.0,0.5,1,0
1354590.0,1.2,39767.0,0.5,1,0
1434030.0,1.2,53041.0,0.5,1,0
1494670.0,1.2,107900.0,0.5,1,0
11181.0,0.0788,0.18,0.5,-1,1
17974.0,0.137,0.46,0.5,-1,1
59309.0,0.359,6.36,0.5,-1,1
60917.0,0.597,0.69,0.5,-1,1
116051.0,0.17,435.0,0.5,-1,1
196694.0,0.5,7.1,0.5,-1,1
227630.0,0.5,3.4,0.5,-1,1
302314.0,0.5,142.0,0.5,-1,1
302709.0,0.5,13.0,0.5,-1,1
359915.0,0.5,50.0,0.5,-1,1
370428.0,0.5,85.0,0.5,-1,1
372468.0,0.5,655.0,0.5,-1,1
374595.0,0.5,137.0,0.5,-1,1
409382.0,0.5,36.0,0.5,-1,1
419152.0,0.5,94.0,0.5,-1,1
434124.0,0.5,40.0,0.5,-1,1
518112.0,0.5,77.0,0.5,-1,1
581269.0,0.5,20.0,0.5,-1,1
593541.0,0.5,1272.0,0.5,-1,1
630282.0,0.5,1255.0,0.5,-1,1
685421.0,0.5,43.0,0.5,-1,1
716624.0,0.5,1552.0,0.5,-1,1
730479.0,0.5,29.0,0.5,-1,1
757550.0,0.5,86.0,0.5,-1,1
760998.0,0.5,600.0,0.5,-1,1
775000.0,0.5,774.0,0.5,-1,1
785405.0,0.5,46.0,0.5,-1,1
787331.0,0.5,157.0,0.5,-1,1
810012.0,0.5,60.5,0.5,-1,1
