energy,Au198 + photon [inclusive] width,n + Au197 width,J,Pi,L
-61.1,0.1243,0.329,1,1,0
46.669,0.127,0.00022,1,1,0
58.078,0.113,0.00431,1,1,0
78.5,0.124,0.017,1,1,0
144.41,0.121,0.00907,1,1,0
163.0683,0.129,0.05516,1,1,0
190.0312,0.121,0.04908,1,1,0
209.053,0.121,0.00086,1,1,0
255.6024,0.124,0.0005608,1,1,0
262.2627,0.129,0.144,1,1,0
330.8049,0.13,0.062183,1,1,0
375.6513,0.121,0.01392,1,1,0
401.5773,0.14,0.02696,1,1,0
440.4106,0.15004,0.28729,1,1,0
489.8402,0.138,0.060831,1,1,0
534.0841,0.13,0.066009,1,1,0
548.5657,0.121,0.062135,1,1,0
580.9996,0.11471,0.14618,1,1,0
617.2956,0.12747,0.12826,1,1,0
628.3511,0.121,0.050146,1,1,0
686.1013,0.128,0.019889,1,1,0
695.9277,0.15905,0.71642,1,1,0
738.5418,0.12,0.012077,1,1,0
760.091,0.119,0.41157,1,1,0
773.9048,0.136,0.43192,1,1,0
813.4985,0.128,0.024111,1,1,0
859.2714,0.121,0.00077679,1,1,0
961.3011,0.15713,0.13944,1,1,0
1043.203,0.128,0.47772,1,1,0
1063.973,0.128,0.014166,1,1,0
1077.89,0.138,0.33906,1,1,0
1223.484,0.14,0.51883,1,1,0
1253.251,0.128,0.10151,1,1,0
1281.798,0.14,0.46709,1,1,0
1328.753,0.141,0.68593,1,1,0
1490.558,0.13013,1.2798,1,1,0
1501.689,0.128,0.027895,1,1,0
1530.154,0.128,0.046813,1,1,0
1578.78,0.128,0.46378,1,1,0
1635.1,0.121,0.0081,1,1,0
1660.0,0.128,0.006133,1,1,0
1756.451,0.121,0.53448,1,1,0
1811.733,0.121,0.1019,1,1,0
1831.945,0.121,0.080013,1,1,0
1856.37,0.1378,1.3247,1,1,0
1893.6,0.121,0.00348,1,1,0
1913.694,0.124,2.3613,1,1,0
1940.125,0.128,0.46638,1,1,0
1960.051,0.16964,0.82103,1,1,0
2021.52,0.128,0.02448,1,1,0
2033.77,0.128,0.45552,1,1,0
2089.54,0.128,0.41859,1,1,0
2120.52,0.128,0.006448,1,1,0
2161.52,0.128,0.007448,1,1,0
2194.1,0.128,0.32,1,1,0
2225.3,0.128,0.05333,1,1,0
2421.0,0.128,1.86,1,1,0
2579.0,0.128,0.1867,1,1,0
2634.0,0.128,0.003067,1,1,0
2654.0,0.124,0.0022,1,1,0
2708.0,0.124,0.121,1,1,0
2776.0,0.124,0.014,1,1,0
2792.0,0.124,0.023,1,1,0
2897.5,0.124,0.0033,1,1,0
2913.0,0.124,0.024,1,1,0
2957.0,0.124,0.066,1,1,0
3050.0,0.124,0.303,1,1,0
3082.0,0.124,0.502,1,1,0
3101.0,0.124,0.068,1,1,0
3160.0,0.124,0.035,1,1,0
3174.0,0.124,0.1,1,1,0
3199.0,0.124,0.02,1,1,0
3258.0,0.124,0.111,1,1,0
3300.0,0.124,0.012,1,1,0
3417.0,0.124,0.007,1,1,0
3440.0,0.124,0.051,1,1,0
3470.0,0.121,2.15,1,1,0
3475.0,0.121,0.8,1,1,0
3488.0,0.124,0.085,1,1,0
3518.0,0.124,0.047,1,1,0
3674.0,0.124,0.1,1,1,0
3695.0,0.124,0.008,1,1,0
3709.0,0.124,0.053,1,1,0
3731.5,0.124,0.38,1,1,0
3744.0,0.124,0.072,1,1,0
3759.0,0.124,0.058,1,1,0
3791.0,0.124,0.005,1,1,0
3863.0,0.124,0.058,1,1,0
3890.2,0.124,1.7,1,1,0
3987.0,0.124,2.5,1,1,0
4051.0,0.124,0.01,1,1,0
4072.0,0.124,0.042,1,1,0
4138.0,0.124,0.05,1,1,0
4272.0,0.124,0.061,1,1,0
4356.0,0.124,0.213,1,1,0
4388.0,0.124,0.334,1,1,0
4454.0,0.124,0.103,1,1,0
4537.0,0.124,0.815,1,1,0
4550.0,0.124,0.083,1,1,0
4611.0,0.124,0.07,1,1,0
4661.0,0.138,0.17,1,1,0
4668.0,0.138,0.67,1,1,0
4697.0,0.124,0.08,1,1,0
4869.0,0.164,1.1,1,1,0
4945.0,0.124,0.288,1,1,0
-52.96587,0.127,0.3657664,2,1,0
4.8997,0.1214,0.01496,2,1,0
60.29139,0.118,0.07066,2,1,0
107.0326,0.123,0.00783,2,1,0
122.3,0.121,0.0009,2,1,0
151.393,0.121,0.02226,2,1,0
165.0796,0.121,0.009983,2,1,0
240.6114,0.121,0.074164,2,1,0
273.8622,0.121,0.0048282,2,1,0
293.4556,0.126,0.36398,2,1,0
329.3868,0.137,0.046006,2,1,0
355.546,0.125,0.04,2,1,0
371.1359,0.121,0.08588,2,1,0
382.0116,0.121,0.06311,2,1,0
400.3295,0.128,0.006828,2,1,0
451.1114,0.12859,0.063502,2,1,0
477.4711,0.13711,0.31699,2,1,0
493.9446,0.121,0.028163,2,1,0
561.6061,0.128,0.002947,2,1,0
579.1177,0.15561,0.35865,2,1,0
586.8045,0.134,0.02386,2,1,0
602.9134,0.1195,0.22736,2,1,0
624.6663,0.121,0.030857,2,1,0
638.8157,0.13207,0.51064,2,1,0
658.8785,0.097,0.0048367,2,1,0
699.1511,0.1113,0.69978,2,1,0
715.783,0.121,0.11438,2,1,0
784.4651,0.14,0.11029,2,1,0
796.2128,0.142,0.15783,2,1,0
819.648,0.128,0.25393,2,1,0
825.1361,0.1348,0.52306,2,1,0
864.2783,0.121,0.02094,2,1,0
879.5355,0.121,0.030921,2,1,0
932.4825,0.13467,0.42982,2,1,0
956.394,0.121,0.0061806,2,1,0
984.3572,0.11627,0.32782,2,1,0
988.6216,0.121,0.12517,2,1,0
995.5634,0.121,0.50501,2,1,0
1039.779,0.128,0.023855,2,1,0
1092.61,0.121,0.36917,2,1,0
1120.088,0.128,0.013493,2,1,0
1128.598,0.128,0.036567,2,1,0
1135.42,0.15032,0.31187,2,1,0
1177.603,0.128,0.0080368,2,1,0
1183.299,0.14,0.27714,2,1,0
1207.243,0.116,0.36681,2,1,0
1218.482,0.128,0.030062,2,1,0
1245.336,0.14276,0.080349,2,1,0
1286.277,0.128,0.01504,2,1,0
1310.602,0.114,0.24062,2,1,0
1335.948,0.121,0.10763,2,1,0
1354.259,0.14,0.37375,2,1,0
1359.636,0.128,0.023072,2,1,0
1367.732,0.128,0.14967,2,1,0
1395.544,0.128,0.036369,2,1,0
1426.531,0.1249,0.090413,2,1,0
1428.769,0.12279,0.45691,2,1,0
1450.357,0.125,0.23249,2,1,0
1469.473,0.121,0.03388,2,1,0
1474.523,0.128,0.072579,2,1,0
1490.27,0.121,0.34271,2,1,0
1552.295,0.135,0.14449,2,1,0
1569.833,0.128,0.0081305,2,1,0
1593.083,0.128,0.05085,2,1,0
1614.962,0.12,0.15602,2,1,0
1641.554,0.13,0.0628,2,1,0
1646.307,0.141,0.10116,2,1,0
1693.464,0.15424,0.12547,2,1,0
1706.294,0.136,0.23565,2,1,0
1721.346,0.128,0.027372,2,1,0
1734.489,0.121,0.27638,2,1,0
1754.3,0.135,0.30006,2,1,0
1821.55,0.121,0.018173,2,1,0
1860.422,0.121,0.095754,2,1,0
1883.509,0.121,0.12032,2,1,0
1962.496,0.17654,0.059082,2,1,0
2029.209,0.128,0.14735,2,1,0
2036.606,0.128,0.21165,2,1,0
2060.2,0.128,0.0184,2,1,0
2076.187,0.128,1.2145,2,1,0
2082.967,0.128,0.52718,2,1,0
2090.019,0.128,5.4854e-06,2,1,0
2112.914,0.128,0.087733,2,1,0
2131.829,0.114,0.88795,2,1,0
2148.67,0.128,0.43409,2,1,0
2154.729,0.128,0.14366,2,1,0
2242.5,0.128,0.12,2,1,0
2279.4,0.128,0.016,2,1,0
2287.5,0.128,0.128,2,1,0
2333.0,0.121,0.24,2,1,0
2367.0,0.121,0.25,2,1,0
2380.0,0.128,0.0048,2,1,0
2407.0,0.128,0.12,2,1,0
2416.5,0.128,0.6402,2,1,0
2443.0,0.121,0.0896,2,1,0
2470.0,0.128,0.528,2,1,0
2499.5,0.128,0.0544,2,1,0
2509.0,0.128,0.0736,2,1,0
2537.0,0.128,0.1648,2,1,0
2562.0,0.128,0.024,2,1,0
2584.0,0.128,0.008,2,1,0
2599.0,0.135,0.256,2,1,0
2613.0,0.133,0.272,2,1,0
2630.0,0.128,0.0384,2,1,0
2684.0,0.124,0.081,2,1,0
2724.0,0.124,0.214,2,1,0
2749.0,0.124,0.114,2,1,0
2763.0,0.124,0.128,2,1,0
2809.0,0.124,0.196,2,1,0
2832.0,0.124,0.303,2,1,0
2853.0,0.124,0.093,2,1,0
2865.5,0.124,0.21,2,1,0
