energy,Ca41 + photon [inclusive] width,n + Ca40 width,J,Pi,L
-458668.7,1.000091,980.9761,0.5,1,0
-239421.4,1.000309,704.1383,0.5,1,0
-192985.9,1.000388,507.6764,0.5,1,0
-161369.3,1.00055,465.34,0.5,1,0
-30332.54,2.245017,6554.955,0.5,1,0
88892.81,0.8150475,159.2992,0.5,1,0
132677.0,2.638134,2510.286,0.5,1,0
169419.4,2.435083,1965.314,0.5,1,0
217696.4,1.527959,4751.993,0.5,1,0
245963.6,1.520527,13495.07,0.5,1,0
291870.7,1.501569,1368.518,0.5,1,0
330202.3,1.007862,9773.98,0.5,1,0
355767.8,1.020744,1549.639,0.5,1,0
385451.9,1.01684,154.2018,0.5,1,0
439404.2,1.621389,6101.693,0.5,1,0
506364.0,1.624534,5903.202,0.5,1,0
591561.8,1.002107,33682.77,0.5,1,0
635315.7,1.006814,1565.76,0.5,1,0
674603.5,1.002731,1969.717,0.5,1,0
737904.5,1.566334,2138.456,0.5,1,0
743046.0,0.3810711,2869.368,0.5,1,0
771137.7,0.9999194,10145.52,0.5,1,0
792443.8,1.002873,1842.673,0.5,1,0
822572.3,1.000811,80.13577,0.5,1,0
862086.2,1.189165,20370.08,0.5,1,0
880235.9,1.000346,27344.72,0.5,1,0
970010.6,1.003842,5871.393,0.5,1,0
1004426.0,0.7164432,9493.242,0.5,1,0
1093026.0,1.040785,18175.25,0.5,1,0
1189083.0,1.051919,2836.113,0.5,1,0
1283403.0,1.005859,2510.394,0.5,1,0
1315693.0,1.0,3659.372,0.5,1,0
1373039.0,1.0,3518.292,0.5,1,0
1656895.0,1.0,256251.9,0.5,1,0
1767830.0,1.0,16015.94,0.5,1,0
1839939.0,1.0,28345.79,0.5,1,0
1850829.0,1.0,70056.97,0.5,1,0
1857524.0,1.0,386373.1,0.5,1,0
1913996.0,1.0,187897.5,0.5,1,0
2880.782,0.3499989,0.001810972,0.5,-1,1
6957.171,0.3500785,0.0112232,0.5,-1,1
100381.9,1.38281,1.388124,0.5,-1,1
101215.5,0.6278765,29.15016,0.5,-1,1
129559.5,0.6086651,0.4388002,0.5,-1,1
145427.7,0.6016671,188.3684,0.5,-1,1
158025.9,1.285404,0.3974389,0.5,-1,1
160822.9,1.197518,46.09762,0.5,-1,1
211491.0,0.9639369,342.6937,0.5,-1,1
226992.5,1.915996,0.3960588,0.5,-1,1
229572.3,0.4876817,356.9023,0.5,-1,1
281046.2,1.084696,6.031804,0.5,-1,1
293856.3,0.5369699,161.2936,0.5,-1,1
303207.9,0.6505238,58.33486,0.5,-1,1
305985.6,0.3456795,6.955574,0.5,-1,1
315202.8,0.3444033,2.412008,0.5,-1,1
332288.4,0.6917381,1.990955,0.5,-1,1
364164.0,1.0,3.82483,0.5,-1,1
419440.1,1.004392,104.9871,0.5,-1,1
425370.1,1.00051,6.785937,0.5,-1,1
437179.3,0.7291594,557.6908,0.5,-1,1
469384.9,0.3813829,229.5565,0.5,-1,1
493197.0,1.0,58.98443,0.5,-1,1
537213.1,0.5111008,210.4851,0.5,-1,1
602689.4,1.0,12.29004,0.5,-1,1
619857.2,1.0,45.88795,0.5,-1,1
630702.4,1.0,48.75367,0.5,-1,1
651765.1,0.3495588,24.57345,0.5,-1,1
658585.3,1.0,6.445188,0.5,-1,1
667897.9,0.3495588,125.9035,0.5,-1,1
694253.3,0.3502237,892.6642,0.5,-1,1
712781.0,0.3800376,221.4914,0.5,-1,1
823435.7,1.000496,2024.149,0.5,-1,1
848109.7,0.9006851,65.26597,0.5,-1,1
867440.1,0.3212123,411.7567,0.5,-1,1
941024.8,0.350094,1013.363,0.5,-1,1
965037.4,1.025332,160.9099,0.5,-1,1
1018558.0,0.9932257,1302.725,0.5,-1,1
1024279.0,1.008507,202.1524,0.5,-1,1
1037285.0,1.006532,1728.796,0.5,-1,1
1057398.0,1.002368,835.9717,0.5,-1,1
1060311.0,1.003334,476.3447,0.5,-1,1
1100866.0,0.9937983,438.2755,0.5,-1,1
1141864.0,0.9202789,377.0592,0.5,-1,1
1242643.0,1.000077,1730.181,0.5,-1,1
1432040.0,1.0,728.5957,0.5,-1,1
1439972.0,0.9761681,345.1445,0.5,-1,1
1468021.0,0.9389508,127.1009,0.5,-1,1
1470698.0,0.9779341,144.5353,0.5,-1,1
1489149.0,1.109174,363.6708,0.5,-1,1
1496383.0,1.050878,144.8484,0.5,-1,1
10841.67,0.6385209,0.583481,1.5,-1,1
19339.91,0.4693232,0.07927589,1.5,-1,1
52587.63,0.3948809,0.2712932,1.5,-1,1
85057.23,0.2258309,1.717796,1.5,-1,1
132501.6,0.30975,0.2669534,1.5,-1,1
151529.1,0.271023,13.57344,1.5,-1,1
178577.1,0.5279479,7.206823,1.5,-1,1
221557.3,0.596259,23.79516,1.5,-1,1
269383.2,0.3962471,40.93579,1.5,-1,1
288449.5,0.7259105,0.7754888,1.5,-1,1
290510.1,0.2733106,49.27727,1.5,-1,1
321030.1,0.5988639,0.2819137,1.5,-1,1
342388.3,0.3902199,76.3216,1.5,-1,1
345751.4,0.3954839,122.6557,1.5,-1,1
353880.9,1.011334,95.33776,1.5,-1,1
371572.3,0.381766,108.1556,1.5,-1,1
376732.2,1.0,19.43685,1.5,-1,1
397376.2,1.0,13.37209,1.5,-1,1
477826.4,0.3811228,190.289,1.5,-1,1
487176.0,1.0,3.910849,1.5,-1,1
609926.6,1.0,29.78815,1.5,-1,1
640620.1,0.3495588,676.1204,1.5,-1,1
652648.1,1.0,38.34609,1.5,-1,1
