energy,Cd112 + photon [inclusive] width,n + Cd111 width,J,Pi,L
-27.94262,0.129,0.1873,0,1,0
332.085,0.1764,0.02333,0,1,0
861.3108,0.1608,0.0598,0,1,0
1042.354,0.13,0.1867,0,1,0
1068.412,0.165,0.0211,0,1,0
1238.025,0.13,0.03658,0,1,0
1290.26,0.1796,0.04022,0,1,0
1404.136,0.13,0.2697,0,1,0
1618.29,0.1517,0.688,0,1,0
1826.818,0.13,0.1487,0,1,0
2084.189,0.1206,0.09675,0,1,0
2238.092,0.1149,0.1646,0,1,0
27.57,0.1311,0.004912,1,1,0
69.59,0.13,0.000176,1,1,0
86.185,0.1301,0.003354,1,1,0
99.491,0.1296,0.01457,1,1,0
103.08,0.13,0.001067,1,1,0
138.166,0.13,0.0095,1,1,0
164.245,0.127,0.06858,1,1,0
225.146,0.1305,0.0321,1,1,0
233.4657,0.13,0.0513,1,1,0
275.6938,0.1365,0.02043,1,1,0
336.8845,0.13,0.001468,1,1,0
356.21,0.1196,0.04816,1,1,0
410.2835,0.13,0.002269,1,1,0
422.9419,0.13,0.0009226,1,1,0
438.436,0.08181,0.008933,1,1,0
478.2168,0.13,0.005167,1,1,0
483.0707,0.13,0.001705,1,1,0
484.9305,0.13,0.003105,1,1,0
540.4604,0.1754,0.02468,1,1,0
548.5657,0.13,0.003747,1,1,0
576.1844,0.1754,0.04784,1,1,0
603.8342,0.13,0.0345,1,1,0
622.7731,0.1378,0.04786,1,1,0
688.9893,0.13,0.0035,1,1,0
706.6756,0.13,0.00429,1,1,0
736.7198,0.13,0.01714,1,1,0
764.8298,0.1209,0.01585,1,1,0
790.9172,0.1607,0.0537,1,1,0
809.768,0.13,0.05516,1,1,0
878.7094,0.1608,0.0415,1,1,0
882.5434,0.13,0.00856,1,1,0
904.2527,0.13,0.01203,1,1,0
965.7864,0.1581,0.05868,1,1,0
1018.879,0.13,0.007235,1,1,0
1048.33,0.13,0.02038,1,1,0
1139.66,0.13,0.007202,1,1,0
1149.566,0.13,0.01174,1,1,0
1175.183,0.13,0.007313,1,1,0
1203.002,0.165,0.006937,1,1,0
1217.612,0.1463,0.1488,1,1,0
1252.819,0.1899,0.1477,1,1,0
1261.862,0.07498,0.0362,1,1,0
1308.59,0.165,0.03196,1,1,0
1338.674,0.13,0.02382,1,1,0
1372.115,0.1202,0.02271,1,1,0
1399.833,0.13,0.05985,1,1,0
1449.166,0.13,0.02086,1,1,0
1468.679,0.13,0.06582,1,1,0
1523.315,0.13,0.02347,1,1,0
1565.488,0.13,0.02842,1,1,0
1582.349,0.13,0.2152,1,1,0
1597.576,0.182,0.08156,1,1,0
1631.895,0.13,0.2467,1,1,0
1655.003,0.13,0.1085,1,1,0
1743.411,0.1214,0.496,1,1,0
1766.678,0.13,0.02057,1,1,0
1788.192,0.13,0.2255,1,1,0
1795.295,0.13,0.01016,1,1,0
1821.714,0.13,0.1422,1,1,0
1884.356,0.13,0.1331,1,1,0
1935.39,0.1421,0.1466,1,1,0
2024.049,0.1126,0.07796,1,1,0
2112.108,0.13,0.01716,1,1,0
2139.726,0.13,0.04811,1,1,0
2145.43,0.13,0.1173,1,1,0
2159.639,0.13,0.01611,1,1,0
2173.449,0.165,0.01492,1,1,0
2295.93,0.165,0.03194,1,1,0
599.0693,0.13,0.006755,0,-1,1
4.56304,0.163,1.43e-06,1,-1,1
389.1695,0.165,0.02655,1,-1,1
6.95464,0.143,8.6e-07,2,-1,1
114.8265,0.165,0.000112,2,-1,1
140.8739,0.165,0.000152,2,-1,1
203.6558,0.165,0.000184,2,-1,1
208.7091,0.165,0.000208,2,-1,1
286.6611,0.165,0.000379,2,-1,1
313.4553,0.165,0.000387,2,-1,1
443.2298,0.165,0.00029,2,-1,1
453.2125,0.165,0.000194,2,-1,1
466.1899,0.165,0.000485,2,-1,1
518.2454,0.165,0.000619,2,-1,1
530.994,0.165,0.000774,2,-1,1
543.7624,0.165,0.0007646,2,-1,1
552.0408,0.165,9.67e-05,2,-1,1
564.02,0.165,9.67e-05,2,-1,1
568.013,0.165,0.000582,2,-1,1
582.987,0.165,0.000387,2,-1,1
606.9454,0.165,0.0001935,2,-1,1
653.8638,0.165,0.000874,2,-1,1
670.8343,0.165,0.001266,2,-1,1
685.8084,0.165,9.67e-05,2,-1,1
739.7147,0.165,0.000874,2,-1,1
783.212,0.165,0.001681,2,-1,1
836.5464,0.165,0.0001935,2,-1,1
843.5342,0.165,0.0003876,2,-1,1
858.5082,0.165,0.000679,2,-1,1
876.477,0.165,0.002253,2,-1,1
900.4354,0.165,0.000679,2,-1,1
911.4198,0.165,0.000679,2,-1,1
925.3068,0.165,0.002239,2,-1,1
928.7191,0.165,0.001926,2,-1,1
961.3296,0.165,0.000874,2,-1,1
970.314,0.165,0.000582,2,-1,1
992.2758,0.165,0.001364,2,-1,1
1003.769,0.13,0.002788,2,-1,1
1023.782,0.165,0.001919,2,-1,1
1036.199,0.165,0.000874,2,-1,1
1057.605,0.165,0.002237,2,-1,1
1082.822,0.165,0.001606,2,-1,1
1098.092,0.165,0.001857,2,-1,1
1116.061,0.165,0.0003876,2,-1,1
1157.872,0.165,0.001987,2,-1,1
1191.929,0.165,0.000972,2,-1,1
1221.814,0.165,0.003635,2,-1,1
