energy,Ce141 + photon [inclusive] width,n + Ce140 width,J,Pi,L
-3923178.0,0.04323259,25976.95,0.5,1,0
-5409.27,0.8416405,0.009940975,0.5,1,0
-19.02307,0.4922754,0.0003413649,0.5,1,0
6006.385,0.05561491,0.9199528,0.5,1,0
9572.961,0.09277424,53.38041,0.5,1,0
11231.48,0.09957224,0.3439237,0.5,1,0
12480.9,0.09111703,39.61418,0.5,1,0
18169.21,0.1035416,84.60409,0.5,1,0
21622.38,0.4785129,576.3406,0.5,1,0
24801.91,0.1461459,71.32923,0.5,1,0
28209.36,0.2015223,104.4461,0.5,1,0
29894.1,0.1078687,1.047235,0.5,1,0
30713.02,0.04453342,23.79308,0.5,1,0
38272.99,0.01863694,65.06644,0.5,1,0
41950.11,0.07685917,272.7191,0.5,1,0
47660.71,0.02423406,1.310202,0.5,1,0
49507.48,0.1260724,72.54119,0.5,1,0
53689.68,0.04167271,4.21241,0.5,1,0
55276.0,0.03263264,222.9869,0.5,1,0
60377.12,0.02422686,62.78959,0.5,1,0
63006.62,0.3049612,107.3593,0.5,1,0
75561.56,0.1461993,83.29619,0.5,1,0
78574.81,0.1845199,58.23181,0.5,1,0
88315.14,0.451979,312.6048,0.5,1,0
93507.89,0.04647221,284.4478,0.5,1,0
96137.93,0.04851761,250.6534,0.5,1,0
98741.0,0.09333681,34.1644,0.5,1,0
108621.4,0.08547074,22.4823,0.5,1,0
117481.8,0.04362036,76.01609,0.5,1,0
121336.4,0.1174105,114.9636,0.5,1,0
129575.9,0.05587768,195.4602,0.5,1,0
136785.7,0.06631721,126.4705,0.5,1,0
138135.0,0.2065033,96.34377,0.5,1,0
144508.9,0.1326201,239.8928,0.5,1,0
151203.2,0.07411008,84.26776,0.5,1,0
158439.4,0.05017159,15.76304,0.5,1,0
167347.1,0.1401891,103.8029,0.5,1,0
171994.1,0.03231674,170.6896,0.5,1,0
172227.3,0.03628388,64.83714,0.5,1,0
176266.9,0.03757428,432.7535,0.5,1,0
180957.2,0.1382899,54.80084,0.5,1,0
185842.7,0.1718658,24.46769,0.5,1,0
186283.1,0.1188211,62.17262,0.5,1,0
195326.7,0.04103591,311.0323,0.5,1,0
199308.9,0.07022783,5.923585,0.5,1,0
241153.6,0.04325396,12.78203,0.5,1,0
423648.3,0.04305569,19.68513,0.5,1,0
2544.13,0.1211571,0.6947864,0.5,-1,1
5640.149,0.04405416,0.03684336,0.5,-1,1
6324.989,0.02422724,0.005420667,0.5,-1,1
6781.027,0.05632276,0.1515059,0.5,-1,1
11440.34,0.05700851,17.29424,0.5,-1,1
11441.22,0.02198916,0.009173951,0.5,-1,1
13965.58,0.02296075,0.1363285,0.5,-1,1
16151.63,0.03800168,6.507026,0.5,-1,1
18117.43,0.0434776,0.115537,0.5,-1,1
18237.91,0.003290988,0.07698667,0.5,-1,1
20816.56,0.003277079,0.5445087,0.5,-1,1
22529.51,0.02043572,0.01943933,0.5,-1,1
23367.9,0.01000782,0.01883873,0.5,-1,1
25277.82,0.3604444,0.100608,0.5,-1,1
26042.51,0.0286859,0.421833,0.5,-1,1
26577.85,0.004572492,0.5905865,0.5,-1,1
27916.29,0.01816139,1.243381,0.5,-1,1
29001.18,0.00676735,0.03764168,0.5,-1,1
29066.85,0.1207288,0.08344929,0.5,-1,1
29624.47,0.005883471,0.05273267,0.5,-1,1
33669.45,0.3546529,0.08673724,0.5,-1,1
34678.9,0.01098833,10.05347,0.5,-1,1
34975.4,0.02432392,0.02368472,0.5,-1,1
39687.43,0.3161887,0.238475,0.5,-1,1
42519.06,0.1652106,0.1567078,0.5,-1,1
44336.28,0.02953392,0.02660534,0.5,-1,1
45148.02,0.02552393,0.02467254,0.5,-1,1
45572.44,0.03194428,0.03149545,0.5,-1,1
46174.14,0.1039064,0.1032086,0.5,-1,1
47207.28,0.006401547,0.6718663,0.5,-1,1
49708.33,0.1576997,0.1747652,0.5,-1,1
49884.64,0.09704608,0.08959919,0.5,-1,1
52289.03,0.1890177,0.2008917,0.5,-1,1
53292.17,0.01351463,43.36066,0.5,-1,1
59486.37,0.03651919,0.03083267,0.5,-1,1
61986.07,0.09668646,0.08571655,0.5,-1,1
66244.85,0.1011076,1.785702,0.5,-1,1
69702.83,0.03279834,25.61324,0.5,-1,1
70229.79,0.01598959,0.9358098,0.5,-1,1
71192.86,0.116921,0.03207367,0.5,-1,1
72430.19,0.2024036,1.069991,0.5,-1,1
78395.07,0.06917085,31.60004,0.5,-1,1
81527.6,1.156479,0.2027911,0.5,-1,1
82095.85,0.0433792,4.136908,0.5,-1,1
83758.56,1.384281,0.2758884,0.5,-1,1
87212.53,0.03793957,22.84406,0.5,-1,1
92483.4,0.13783,4.354245,0.5,-1,1
95808.94,0.3590286,61.78556,0.5,-1,1
97472.13,0.1983096,3.775283,0.5,-1,1
104925.8,0.04457264,0.1528077,0.5,-1,1
107901.6,0.02284885,31.24765,0.5,-1,1
114763.2,0.02707042,10.0333,0.5,-1,1
117243.3,0.02327295,12.27932,0.5,-1,1
124904.6,0.5041768,1.654677,0.5,-1,1
140659.5,0.1666128,19.12418,0.5,-1,1
147656.7,0.04714384,0.08433264,0.5,-1,1
149336.4,1.494799,1.020887,0.5,-1,1
157690.4,0.01947889,1.258393,0.5,-1,1
159508.1,0.1059477,26.39824,0.5,-1,1
163162.5,0.7137538,1.097284,0.5,-1,1
167053.3,0.02631593,27.94404,0.5,-1,1
169183.0,0.8792142,2.153748,0.5,-1,1
173384.2,0.3358313,33.54426,0.5,-1,1
182308.7,1.535586,0.74005,0.5,-1,1
187306.2,0.07239216,22.28924,0.5,-1,1
188286.1,1.906391,1.619155,0.5,-1,1
189399.5,0.03104259,0.2755158,0.5,-1,1
192511.6,0.03468065,0.5895803,0.5,-1,1
193899.1,0.02479611,41.73674,0.5,-1,1
197246.5,0.7451996,0.6207125,0.5,-1,1
8392.399,0.04203747,0.288517,1.5,-1,1
10330.22,0.006809759,0.009052487,1.5,-1,1
11162.07,0.001072846,0.03440017,1.5,-1,1
11474.66,0.04949718,0.07065729,1.5,-1,1
12405.84,0.00420699,0.08596557,1.5,-1,1
12534.44,0.01011498,0.005448037,1.5,-1,1
13175.21,0.03623329,0.03403914,1.5,-1,1
14017.25,0.04458272,0.3341311,1.5,-1,1
15671.13,0.009050688,0.003458112,1.5,-1,1
16432.02,0.02871365,1.266505,1.5,-1,1
18021.61,0.003970878,0.317156,1.5,-1,1
18082.35,0.006694377,0.2994472,1.5,-1,1
18780.32,0.04556185,0.1473637,1.5,-1,1
19675.42,0.00593081,0.01903091,1.5,-1,1
21214.64,0.06026638,3.938592,1.5,-1,1
23567.79,0.1005224,0.04219809,1.5,-1,1
24110.74,0.04250456,0.01642249,1.5,-1,1
25611.77,0.001791453,0.04167415,1.5,-1,1
26400.83,0.1492164,0.07199212,1.5,-1,1
27246.23,0.02053151,0.07214846,1.5,-1,1
27662.72,0.03145707,0.09696542,1.5,-1,1
29238.94,0.0150068,0.5408144,1.5,-1,1
30826.93,0.05150562,0.4901052,1.5,-1,1
32443.28,0.08811983,0.08599382,1.5,-1,1
33510.04,0.3173043,0.04500263,1.5,-1,1
33812.15,0.3410453,0.0870709,1.5,-1,1
38199.63,0.01768471,5.439666,1.5,-1,1
38320.65,0.0417793,0.0292656,1.5,-1,1
39160.79,0.05158294,1.000009,1.5,-1,1
40207.24,0.007583449,2.834891,1.5,-1,1
40981.17,0.007049177,3.13777,1.5,-1,1
41514.84,0.04406649,2.506231,1.5,-1,1
41814.63,0.02155574,0.04080065,1.5,-1,1
42720.25,0.009387594,1.841773,1.5,-1,1
43720.17,0.02233466,0.01652888,1.5,-1,1
44725.34,0.0024461,4.250016,1.5,-1,1
45236.8,0.02458077,0.02005845,1.5,-1,1
46532.86,0.01710428,0.01320627,1.5,-1,1
46765.02,0.02271792,0.02528186,1.5,-1,1
48665.69,0.04899016,1.717413,1.5,-1,1
50263.9,0.02881175,0.0260254,1.5,-1,1
50624.35,0.03666883,0.03124578,1.5,-1,1
51111.73,0.01401729,0.009096368,1.5,-1,1
51523.87,0.01867278,0.02221506,1.5,-1,1
52678.21,0.01722069,0.01598091,1.5,-1,1
53021.72,0.01736686,1.771964,1.5,-1,1
53522.11,0.007960628,1.64723,1.5,-1,1
54237.27,0.02665101,0.02786591,1.5,-1,1
54601.25,0.06998749,0.09329052,1.5,-1,1
55786.68,0.01624148,0.9814911,1.5,-1,1
56295.66,0.07941736,0.06025663,1.5,-1,1
58489.08,0.03737522,0.03003117,1.5,-1,1
59678.26,0.02592409,0.01847214,1.5,-1,1
59898.01,0.04528979,0.04775715,1.5,-1,1
60127.43,0.05366289,0.7359874,1.5,-1,1
61537.72,0.1015339,0.08183467,1.5,-1,1
64448.88,0.2088265,0.1753192,1.5,-1,1
66408.17,0.03887476,3.290951,1.5,-1,1
68260.2,0.004689603,4.803464,1.5,-1,1
69525.75,0.4885329,0.1236522,1.5,-1,1
70726.51,0.00980102,0.3282141,1.5,-1,1
73048.09,0.11082,0.6817265,1.5,-1,1
74744.43,0.06053868,6.116756,1.5,-1,1
74915.52,0.02398597,8.515311,1.5,-1,1
76857.68,0.007992944,12.95824,1.5,-1,1
80810.95,0.1262898,1.0067,1.5,-1,1
82426.58,0.05316644,9.67084,1.5,-1,1
84163.06,0.04171043,6.039428,1.5,-1,1
86545.26,0.03333386,2.844792,1.5,-1,1
89282.97,0.07505736,0.6720893,1.5,-1,1
90550.53,0.02435526,26.86911,1.5,-1,1
99845.58,0.04149925,2.499658,1.5,-1,1
105984.3,0.03211475,4.302922,1.5,-1,1
107000.9,0.01455226,7.327434,1.5,-1,1
118297.8,0.2073374,53.24255,1.5,-1,1
120998.9,0.1198876,19.58282,1.5,-1,1
127058.8,0.1125254,0.5323943,1.5,-1,1
131539.2,0.1527159,8.463751,1.5,-1,1
133279.8,0.02015403,0.004662835,1.5,-1,1
143119.4,0.1491766,0.006411298,1.5,-1,1
148618.6,0.02405682,0.004229714,1.5,-1,1
150489.7,0.4086124,0.7367192,1.5,-1,1
151743.9,0.01949309,32.3744,1.5,-1,1
153491.9,0.274908,7.299843,1.5,-1,1
161476.1,0.07639065,4.747491,1.5,-1,1
164871.7,0.2142512,2.960593,1.5,-1,1
168209.3,0.03312796,45.70096,1.5,-1,1
171221.3,0.2177424,59.40903,1.5,-1,1
171697.1,0.02251241,194.8848,1.5,-1,1
174800.9,0.06172034,21.42598,1.5,-1,1
178448.3,0.1209873,14.28627,1.5,-1,1
184535.3,0.3402084,0.1558583,1.5,-1,1
187891.9,0.0373831,1.311537,1.5,-1,1
192998.2,0.8155666,1.442921,1.5,-1,1
194648.2,0.09045513,82.98499,1.5,-1,1
198908.8,0.03026757,14.64712,1.5,-1,1
