energy,Cl36 + photon [inclusive] width,n + Cl35 width,J,Pi,L
54932.0,0.36726,46.4424,1,1,0
68236.16,0.39336,217.904,1,1,0
115098.0,0.739,4.30778,1,1,0
182523.0,0.74515,1759.74,1,1,0
239742.7,0.68716,268.547,1,1,0
335128.7,0.35838,5525.66,1,1,0
399146.9,0.74097,1093.81,1,1,0
415665.0,0.32868,1146.26,1,1,0
450630.3,0.39299,461.332,1,1,0
499789.6,0.67046,2312.41,1,1,0
542221.4,0.606,522.034,1,1,0
654207.4,0.606,518.603,1,1,0
665289.6,0.606,140.672,1,1,0
672357.3,0.606,575.408,1,1,0
678000.0,0.606,133.158,1,1,0
694935.8,0.606,1824.95,1,1,0
725177.3,0.606,167.245,1,1,0
754691.2,0.606,2690.68,1,1,0
781464.6,0.606,1294.13,1,1,0
831578.7,0.86,445.304,1,1,0
882977.6,0.606,978.061,1,1,0
1109188.0,0.606,2742.35,1,1,0
1205687.0,0.606,642.584,1,1,0
-180.65,0.53015,13.277,2,1,0
14801.95,0.34568,32.5995,2,1,0
26615.79,0.30415,115.498,2,1,0
75494.67,0.80592,0.0799154,2,1,0
130443.5,0.75935,0.76657,2,1,0
214923.2,0.34851,652.839,2,1,0
242599.8,0.90183,344.009,2,1,0
284657.0,0.49942,1194.02,2,1,0
313750.3,0.47633,1475.68,2,1,0
331071.0,0.39824,32.762,2,1,0
338975.6,2.3833,877.796,2,1,0
380262.5,0.46301,1178.59,2,1,0
386417.7,0.41807,1240.15,2,1,0
459361.5,0.61565,38.5997,2,1,0
488627.4,0.40814,780.68,2,1,0
514398.2,0.606,5284.32,2,1,0
527939.1,0.606,2812.39,2,1,0
559026.3,0.606,1813.31,2,1,0
590812.1,0.606,3235.63,2,1,0
621678.0,0.606,6758.69,2,1,0
631036.3,0.606,1636.76,2,1,0
640805.4,0.606,859.748,2,1,0
657814.3,0.606,206.942,2,1,0
681057.5,0.606,665.49,2,1,0
690270.8,0.606,463.211,2,1,0
779974.9,0.606,5311.18,2,1,0
824952.3,0.606,2763.84,2,1,0
860961.0,0.606,7202.41,2,1,0
1053393.0,0.606,2038.13,2,1,0
1137885.0,0.606,1835.53,2,1,0
1257680.0,0.606,1749.83,2,1,0
7563145.0,0.38398,621905.0,2,1,0
22396.4,1.7248,0.966367,0,-1,1
96604.15,1.565,2.76138,0,-1,1
