energy,Cr51 + photon [inclusive] width,n + Cr50 width,J,Pi,L
-530.0,0.05525,7.6126,0.5,1,0
5621.0,4.561048,1631.28,0.5,1,0
28438.0,0.558,392.0,0.5,1,0
37480.0,1.87,2050.0,0.5,1,0
55170.0,0.784,390.6,0.5,1,0
64860.0,0.68,34.0,0.5,1,0
94918.91,0.97,1744.806,0.5,1,0
115038.4,0.46,165.1346,0.5,1,0
129466.9,0.91,583.8775,0.5,1,0
156988.4,0.66,1526.154,0.5,1,0
162873.6,0.74,877.7608,0.5,1,0
185640.2,0.37,3196.121,0.5,1,0
219683.2,1.63,238.4414,0.5,1,0
232524.0,0.74,615.7148,0.5,1,0
277668.5,1.52,2783.483,0.5,1,0
291207.1,1.81,6647.976,0.5,1,0
306694.1,1.13,1751.308,0.5,1,0
321410.3,1.13,5772.467,0.5,1,0
327700.7,1.13,216.8708,0.5,1,0
352406.1,1.13,6130.92,0.5,1,0
358875.9,1.13,1667.447,0.5,1,0
368936.4,1.13,10402.92,0.5,1,0
387083.8,1.13,3338.571,0.5,1,0
415208.1,1.13,11504.53,0.5,1,0
432089.6,1.13,5929.783,0.5,1,0
435519.3,1.13,1169.66,0.5,1,0
441817.2,1.13,927.7395,0.5,1,0
452842.3,1.13,77.52016,0.5,1,0
465880.6,1.13,2510.071,0.5,1,0
478230.6,1.13,2260.674,0.5,1,0
488239.0,1.13,1168.421,0.5,1,0
501519.6,1.13,3344.396,0.5,1,0
514341.1,1.13,1122.783,0.5,1,0
537628.1,1.13,1848.786,0.5,1,0
553344.1,1.13,5606.242,0.5,1,0
560038.8,1.13,2475.378,0.5,1,0
580936.5,1.13,7794.136,0.5,1,0
586248.0,1.13,17.99635,0.5,1,0
586441.7,1.13,5.232894,0.5,1,0
587995.7,0.75,44.18722,0.5,1,0
590421.3,1.13,1758.632,0.5,1,0
601148.2,1.13,2168.302,0.5,1,0
605863.8,1.13,294.8119,0.5,1,0
607909.6,1.13,763.7743,0.5,1,0
618950.7,1.13,7.319422,0.5,1,0
630415.7,1.13,3024.444,0.5,1,0
642227.6,1.13,2043.296,0.5,1,0
659382.4,1.13,1727.706,0.5,1,0
666892.4,1.13,44.87996,0.5,1,0
680097.0,1.13,547.3888,0.5,1,0
681182.3,1.13,868.6137,0.5,1,0
685042.1,1.13,23.83761,0.5,1,0
691955.1,1.13,1293.873,0.5,1,0
695787.1,1.13,87.47745,0.5,1,0
708208.3,1.13,562.2771,0.5,1,0
715953.5,1.13,879.6365,0.5,1,0
732025.7,1.13,5249.173,0.5,1,0
735292.9,1.13,3785.558,0.5,1,0
741041.3,1.13,379.7166,0.5,1,0
756530.6,1.13,39.44943,0.5,1,0
763351.9,0.5,7193.491,0.5,1,0
775673.3,0.5,1.19598,0.5,1,0
780735.2,0.37,213.1387,0.5,1,0
788946.0,0.5,3215.371,0.5,1,0
798290.5,1.13,1270.136,0.5,1,0
810639.9,0.125,63721.24,0.5,1,0
827478.0,1.13,2811.504,0.5,1,0
8160000.0,0.125,776.9279,0.5,1,0
9280.0,2.33,0.05,0.5,-1,1
19217.0,0.505,3.0,0.5,-1,1
24882.0,0.34,0.36,0.5,-1,1
63300.0,0.47,10.0,0.5,-1,1
68249.9,0.48,1.8,0.5,-1,1
77899.9,0.785,14.2,0.5,-1,1
79099.9,1.32,100.0,0.5,-1,1
89650.22,0.37,0.2857499,0.5,-1,1
98732.4,2.22,0.7821606,0.5,-1,1
104271.2,0.37,0.1124913,0.5,-1,1
107717.5,1.71,2.885611,0.5,-1,1
110527.6,1.47,11.9388,0.5,-1,1
112297.9,0.9,77.50675,0.5,-1,1
116665.5,1.17,9.764961,0.5,-1,1
118702.0,0.41,27.31565,0.5,-1,1
140082.4,1.5,6.381415,0.5,-1,1
142420.9,1.78,34.23716,0.5,-1,1
152957.1,1.75,8.084909,0.5,-1,1
155163.3,0.37,0.1441714,0.5,-1,1
156842.3,1.4,8.119106,0.5,-1,1
157946.3,0.37,0.09538175,0.5,-1,1
162419.6,1.39,48.17741,0.5,-1,1
169122.9,0.88,52.22603,0.5,-1,1
170122.8,0.37,0.4531757,0.5,-1,1
173546.2,0.37,0.4192887,0.5,-1,1
177441.1,2.1,51.46776,0.5,-1,1
180773.9,0.37,5.047677,0.5,-1,1
186738.6,3.26,102.8749,0.5,-1,1
188465.5,2.19,22.4506,0.5,-1,1
191307.8,0.74,223.1558,0.5,-1,1
196079.8,0.37,0.119908,0.5,-1,1
197264.8,1.06,42.8718,0.5,-1,1
200741.0,0.44,116.0134,0.5,-1,1
201907.5,3.13,80.03175,0.5,-1,1
205757.2,1.17,109.4656,0.5,-1,1
207468.4,3.35,64.75159,0.5,-1,1
208602.0,0.37,0.3969399,0.5,-1,1
213921.6,0.6,89.58413,0.5,-1,1
226185.9,0.37,0.1030334,0.5,-1,1
232257.3,0.11,25.32378,0.5,-1,1
233345.6,1.8,447.0584,0.5,-1,1
239656.3,2.35,31.13345,0.5,-1,1
247651.7,0.84,242.2024,0.5,-1,1
273810.8,1.16,155.7046,0.5,-1,1
276761.3,0.37,78.92678,0.5,-1,1
286924.0,0.37,83.58153,0.5,-1,1
295008.5,0.37,3.173625,0.5,-1,1
309353.8,0.37,117.525,0.5,-1,1
330733.5,0.37,83.10547,0.5,-1,1
331182.6,0.37,91.67242,0.5,-1,1
352472.6,0.37,92.22082,0.5,-1,1
360054.5,0.37,154.8284,0.5,-1,1
370037.4,0.37,112.3793,0.5,-1,1
395333.7,0.37,151.1612,0.5,-1,1
404286.4,0.37,782.5562,0.5,-1,1
441351.8,0.37,1746.482,0.5,-1,1
443183.5,0.37,223.2082,0.5,-1,1
444726.4,0.37,61.13431,0.5,-1,1
458264.1,0.37,188.9457,0.5,-1,1
480956.9,0.37,95.40499,0.5,-1,1
483591.3,0.37,361.6534,0.5,-1,1
483805.7,0.37,141.8448,0.5,-1,1
488205.0,0.37,736.3333,0.5,-1,1
494245.8,0.37,69.42969,0.5,-1,1
494691.4,0.37,81.52161,0.5,-1,1
498566.2,0.37,222.7215,0.5,-1,1
526395.4,0.37,197.5444,0.5,-1,1
531914.6,0.37,110.8113,0.5,-1,1
535279.3,0.37,375.5277,0.5,-1,1
542345.4,0.37,6.696819,0.5,-1,1
543338.6,0.37,2.872345,0.5,-1,1
543511.2,0.37,93.50124,0.5,-1,1
547212.7,0.37,1067.192,0.5,-1,1
558854.2,0.37,394.1552,0.5,-1,1
561983.6,0.37,315.8224,0.5,-1,1
566722.4,0.37,17.95078,0.5,-1,1
568238.9,0.37,6.460843,0.5,-1,1
569297.1,0.37,27.49596,0.5,-1,1
577583.0,0.37,1531.723,0.5,-1,1
580229.0,0.37,243.5072,0.5,-1,1
581905.4,0.37,244.4778,0.5,-1,1
