energy,Cu66 + photon [inclusive] width,n + Cu65 width,J,Pi,L
-1535.904,0.395,294.3392,1,-1,0
1363.077,0.3793127,0.0278355,1,-1,0
2647.755,0.3615022,0.001938206,1,-1,0
3584.44,0.4303368,0.06488927,1,-1,0
3744.101,0.3655937,0.004705841,1,-1,0
3918.231,0.6236054,23.94966,1,-1,0
4395.448,0.3718527,0.00178634,1,-1,0
4483.493,0.4016167,16.49835,1,-1,0
7619.491,0.336202,37.21156,1,-1,0
10333.98,0.3797238,0.01063591,1,-1,0
17966.84,0.3446891,162.1313,1,-1,0
18035.93,0.4401297,434.983,1,-1,0
18844.99,0.3481938,0.05997267,1,-1,0
22194.94,0.395313,0.05354369,1,-1,0
24245.68,0.3739836,137.9554,1,-1,0
25162.04,0.3434486,31.65583,1,-1,0
25928.7,0.3939441,19.52437,1,-1,0
27785.55,0.3952785,0.07501013,1,-1,0
34248.63,0.5095024,98.89065,1,-1,0
35393.65,0.4089339,0.24142,1,-1,0
39537.23,0.4016816,5.305934,1,-1,0
39624.07,0.4554123,341.8489,1,-1,0
40997.09,0.4279669,75.51774,1,-1,0
43100.95,0.3894178,156.847,1,-1,0
44214.79,0.3896437,49.19863,1,-1,0
45843.72,0.4343652,60.63929,1,-1,0
46192.07,0.3947684,0.08280114,1,-1,0
46739.93,0.3489306,45.07402,1,-1,0
47551.71,0.3667576,64.75854,1,-1,0
47711.11,0.3960256,0.1806389,1,-1,0
47748.28,0.3967691,0.2408031,1,-1,0
47818.49,0.398154,0.2197564,1,-1,0
50423.01,0.4071557,90.94258,1,-1,0
53473.02,0.3809569,173.7667,1,-1,0
54730.15,0.362667,39.10515,1,-1,0
56365.32,0.4332456,74.99413,1,-1,0
57823.47,0.4170344,310.286,1,-1,0
58596.82,0.3952588,0.08769288,1,-1,0
58838.7,0.3948649,0.1136924,1,-1,0
61645.35,0.3950583,0.03852799,1,-1,0
62036.25,0.4106731,333.026,1,-1,0
62277.73,0.3787411,21.87889,1,-1,0
65270.46,0.4145251,563.7838,1,-1,0
68083.15,0.3917044,190.4206,1,-1,0
68989.8,0.3951275,0.04639578,1,-1,0
70605.51,0.3947191,0.06214507,1,-1,0
70989.93,0.3862348,1.148075,1,-1,0
