energy,Dy157 + photon [inclusive] width,n + Dy156 width,J,Pi,L
2.15,0.0836,0.0002,0.5,1,0
3.21,0.0836,0.0008,0.5,1,0
9.19,0.0836,0.0006,0.5,1,0
15.2,0.0836,0.0046,0.5,1,0
17.4,0.0836,0.00032,0.5,1,0
17.7,0.0836,0.0001,0.5,1,0
19.6,0.0836,0.009,0.5,1,0
24.5,0.0836,0.0024,0.5,1,0
27.4,0.0836,0.0004,0.5,1,0
28.1,0.0836,0.0004,0.5,1,0
29.3,0.0836,0.0087,0.5,1,0
36.0,0.0836,0.009,0.5,1,0
37.8,0.0836,0.0004,0.5,1,0
38.6,0.0836,0.0004,0.5,1,0
46.9,0.0836,0.014,0.5,1,0
52.0,0.0836,0.016,0.5,1,0
68.6,0.0836,0.054,0.5,1,0
85.5,0.0836,0.015,0.5,1,0
90.9,0.0836,0.042,0.5,1,0
