energy,Fe58 + photon [inclusive] width,n + Fe57 width,J,Pi,L
3955.0,1.1,214.0,0,-1,0
55810.0,2.4,10000.0,0,-1,0
126000.0,1.2,2500.0,0,-1,0
134500.0,3.8,3300.0,0,-1,0
140700.0,1.4,1500.0,0,-1,0
169310.0,1.38,1800.0,0,-1,0
176300.0,1.2,500.0,0,-1,0
189500.0,1.5,4200.0,0,-1,0
194250.0,3.55,700.0,0,-1,0
197300.0,2.57,700.0,0,-1,0
198900.0,1.18,700.0,0,-1,0
200100.0,0.99,700.0,0,-1,0
12800.0,0.228,5.2,0,1,1
18060.0,0.65,1.44,0,1,1
18710.0,0.65,0.16,0,1,1
21050.0,0.6,7.6,0,1,1
91340.0,0.65,0.24,0,1,1
107600.0,0.65,0.12,0,1,1
-2330.0,1.73,64.89,1,-1,0
6220.0,1.15,380.0,1,-1,0
13950.0,1.0,13.33333,1,-1,0
18240.0,1.08,6.4,1,-1,0
21290.0,1.16,5.333333,1,-1,0
28630.0,0.89,5.466667,1,-1,0
29050.0,3.53,3450.0,1,-1,0
39380.0,0.93,10.66667,1,-1,0
41400.0,4.73,1000.0,1,-1,0
47050.0,1.13,450.0,1,-1,0
52880.0,0.88,21.33333,1,-1,0
61050.0,2.27,3700.0,1,-1,0
76900.0,1.27,1950.0,1,-1,0
93700.0,0.47,200.0,1,-1,0
109400.0,3.0,2300.0,1,-1,0
110200.0,1.0,1200.0,1,-1,0
125000.0,1.83,1500.0,1,-1,0
129500.0,3.0,4200.0,1,-1,0
167000.0,1.49,1100.0,1,-1,0
169000.0,2.0,1700.0,1,-1,0
185000.0,3.0,4800.0,1,-1,0
4750.0,0.65,0.06266666,1,1,1
8527.0,0.65,0.01066667,1,1,1
9207.0,0.65,0.04,1,1,1
13310.0,0.65,0.1333333,1,1,1
37110.0,0.71,6.0,1,1,1
37890.0,0.65,0.2266667,1,1,1
39800.0,0.65,0.1466667,1,1,1
42350.0,0.65,0.06666667,1,1,1
43580.0,0.65,0.02266667,1,1,1
49930.0,0.26,1.933333,1,1,1
52700.0,0.65,0.16,1,1,1
58930.0,0.65,0.32,1,1,1
62250.0,0.65,0.68,1,1,1
64220.0,0.65,0.13,1,1,1
68070.0,0.65,1.2,1,1,1
74300.0,0.65,0.17,1,1,1
80300.0,0.65,0.81,1,1,1
83150.0,0.65,0.09333333,1,1,1
94700.0,0.65,0.63,1,1,1
98850.0,0.65,0.39,1,1,1
99870.0,0.65,0.38,1,1,1
101800.0,0.65,17.33333,1,1,1
105210.0,0.65,0.63,1,1,1
105870.0,0.65,0.29,1,1,1
111100.0,0.65,0.21,1,1,1
124000.0,0.65,0.38,1,1,1
125300.0,0.65,0.17,1,1,1
126700.0,0.65,0.76,1,1,1
131800.0,1.3,1.2,1,1,1
135280.0,0.65,0.29,1,1,1
150250.0,0.65,0.29,1,1,1
166530.0,0.65,0.29,1,1,1
168800.0,0.65,0.45,1,1,1
169310.0,0.65,4.2,1,1,1
187200.0,0.65,1.4,1,1,1
1630.0,1.0,0.044,2,1,1
7220.0,1.56,0.68,2,1,1
7944.0,0.65,0.184,2,1,1
12090.0,0.65,0.0104,2,1,1
14140.0,0.65,0.0032,2,1,1
21370.0,0.65,0.091,2,1,1
25790.0,0.65,0.0112,2,1,1
27200.0,0.65,0.096,2,1,1
31940.0,0.65,0.328,2,1,1
35190.0,0.65,1.3,2,1,1
41940.0,0.65,3.2,2,1,1
50920.0,0.65,3.9,2,1,1
56170.0,0.65,2.4,2,1,1
58820.0,0.65,0.032,2,1,1
62000.0,0.65,0.04,2,1,1
62980.0,0.65,0.12,2,1,1
63950.0,0.65,0.63,2,1,1
66750.0,0.65,2.24,2,1,1
71450.0,0.65,0.49,2,1,1
72700.0,0.65,0.45,2,1,1
84470.0,0.65,0.24,2,1,1
87240.0,0.65,0.048,2,1,1
88280.0,0.65,0.38,2,1,1
89980.0,0.65,0.23,2,1,1
93390.0,1.3,1.03,2,1,1
93970.0,1.3,2.1,2,1,1
96300.0,1.3,1.1,2,1,1
98100.0,0.65,0.056,2,1,1
101100.0,0.65,0.95,2,1,1
103970.0,0.65,0.26,2,1,1
106830.0,1.3,3.8,2,1,1
108100.0,0.65,0.81,2,1,1
112800.0,1.3,1.4,2,1,1
113580.0,0.65,0.032,2,1,1
114500.0,0.65,1.3,2,1,1
119200.0,0.65,16.8,2,1,1
121500.0,0.65,0.57,2,1,1
125080.0,1.3,3.5,2,1,1
130500.0,0.65,0.6,2,1,1
134100.0,0.65,0.7,2,1,1
148800.0,0.65,0.94,2,1,1
150700.0,0.65,0.63,2,1,1
154970.0,0.65,0.29,2,1,1
158300.0,0.65,0.08,2,1,1
159900.0,0.65,0.63,2,1,1
164800.0,0.65,0.072,2,1,1
167300.0,0.65,1.0,2,1,1
180350.0,0.65,1.8,2,1,1
186800.0,0.65,2.3,2,1,1
