energy,Gd153 + photon [inclusive] width,n + Gd152 width,J,Pi,L
-6.2,0.055,0.308066,0.5,1,0
12.35,0.055,0.00465,0.5,1,0
36.86,0.055,0.087,0.5,1,0
39.3,0.055,0.039,0.5,1,0
42.73,0.055,0.0031,0.5,1,0
74.34,0.05,0.06,0.5,1,0
85.55,0.055,0.0036,0.5,1,0
92.4,0.079,0.087,0.5,1,0
140.0,0.055,0.124,0.5,1,0
160.0,0.055,0.0029,0.5,1,0
173.8,0.03,0.086,0.5,1,0
185.7,0.053,0.084,0.5,1,0
203.1,0.059,0.097,0.5,1,0
207.7,0.055,0.0053,0.5,1,0
223.3,0.064,0.301,0.5,1,0
231.4,0.062,0.046,0.5,1,0
238.0,0.0897,0.3,0.5,1,0
252.4,0.053,0.127,0.5,1,0
282.6,0.049,0.145,0.5,1,0
293.4,0.071,0.352,0.5,1,0
303.1,0.055,0.018,0.5,1,0
309.5,0.055,0.0083,0.5,1,0
318.3,0.055,0.065,0.5,1,0
333.7,0.055,0.033,0.5,1,0
379.2,0.06,0.317,0.5,1,0
385.9,0.063,0.18,0.5,1,0
405.6,0.053,0.152,0.5,1,0
425.7,0.063,0.419,0.5,1,0
440.8,0.055,0.029,0.5,1,0
472.6,0.055,0.049,0.5,1,0
479.4,0.044,0.157,0.5,1,0
502.0,0.055,0.014,0.5,1,0
505.8,0.055,0.0034,0.5,1,0
511.7,0.055,0.093,0.5,1,0
537.4,0.055,0.049,0.5,1,0
545.8,0.055,0.0037,0.5,1,0
553.2,0.056,0.299,0.5,1,0
558.5,0.055,0.006,0.5,1,0
575.4,0.067,0.866,0.5,1,0
608.3,0.055,0.083,0.5,1,0
619.4,0.057,0.276,0.5,1,0
626.7,0.055,0.0046,0.5,1,0
631.2,0.055,0.036,0.5,1,0
660.3,0.05,0.291,0.5,1,0
683.8,0.055,0.75,0.5,1,0
720.7,0.055,0.014,0.5,1,0
737.8,0.055,0.086,0.5,1,0
751.6,0.055,0.013,0.5,1,0
776.2,0.055,0.055,0.5,1,0
779.6,0.055,0.0059,0.5,1,0
798.0,0.055,0.0036,0.5,1,0
805.5,0.059,0.242,0.5,1,0
814.3,0.054,0.136,0.5,1,0
819.6,0.055,0.03,0.5,1,0
830.0,0.055,0.037,0.5,1,0
838.2,0.068,0.441,0.5,1,0
883.0,0.055,0.044,0.5,1,0
892.3,0.055,0.069,0.5,1,0
910.2,0.079,0.164,0.5,1,0
910.6,0.079,0.164,0.5,1,0
928.8,0.055,0.053,0.5,1,0
948.9,0.055,0.123,0.5,1,0
956.0,0.055,0.0071,0.5,1,0
968.5,0.055,0.029,0.5,1,0
972.8,0.055,0.145,0.5,1,0
994.1,0.056,0.288,0.5,1,0
1012.0,0.055,0.063,0.5,1,0
1018.7,0.055,0.064,0.5,1,0
1029.0,0.079,0.112,0.5,1,0
1044.1,0.079,0.115,0.5,1,0
1057.6,0.079,0.09,0.5,1,0
1081.6,0.055,0.106,0.5,1,0
1084.0,0.055,0.068,0.5,1,0
1107.2,0.055,0.024,0.5,1,0
1134.2,0.052,0.55,0.5,1,0
1168.0,0.079,0.164,0.5,1,0
1199.0,0.055,0.332,0.5,1,0
1231.3,0.055,0.046,0.5,1,0
1251.8,0.055,0.045,0.5,1,0
1267.7,0.055,0.046,0.5,1,0
1330.7,0.055,0.108,0.5,1,0
1359.4,0.059,0.473,0.5,1,0
1371.4,0.055,0.183,0.5,1,0
1386.4,0.079,0.111,0.5,1,0
1399.1,0.055,0.072,0.5,1,0
1412.1,0.055,0.213,0.5,1,0
1456.1,0.055,0.181,0.5,1,0
1503.4,0.055,0.028,0.5,1,0
1521.8,0.055,0.134,0.5,1,0
1533.1,0.055,0.039,0.5,1,0
1536.3,0.055,0.09,0.5,1,0
1559.8,0.079,0.121,0.5,1,0
1564.0,0.055,0.068,0.5,1,0
1578.6,0.055,0.089,0.5,1,0
1606.1,0.055,0.04,0.5,1,0
1634.0,0.055,0.107,0.5,1,0
1641.4,0.079,0.118,0.5,1,0
1678.4,0.069,0.999,0.5,1,0
1691.7,0.079,0.129,0.5,1,0
1699.0,0.051,0.783,0.5,1,0
1717.0,0.055,0.023,0.5,1,0
1733.3,0.055,0.12,0.5,1,0
1743.6,0.055,0.121,0.5,1,0
1801.0,0.079,0.115,0.5,1,0
1840.0,0.055,0.077,0.5,1,0
1857.8,0.079,0.139,0.5,1,0
1899.2,0.055,0.3,0.5,1,0
1906.2,0.075,1.133,0.5,1,0
1926.5,0.055,0.064,0.5,1,0
2015.9,0.079,0.112,0.5,1,0
2018.8,0.079,0.141,0.5,1,0
2042.5,0.056,0.556,0.5,1,0
2063.2,0.055,0.018,0.5,1,0
2075.2,0.055,0.041,0.5,1,0
2120.2,0.055,0.134,0.5,1,0
2164.0,0.055,0.019,0.5,1,0
2179.7,0.079,0.138,0.5,1,0
2219.8,0.084,3.43,0.5,1,0
2263.8,0.079,0.163,0.5,1,0
2282.2,0.055,0.062,0.5,1,0
2295.2,0.079,0.128,0.5,1,0
2321.7,0.101,0.3,0.5,1,0
2351.0,0.055,0.027,0.5,1,0
2377.4,0.055,0.031,0.5,1,0
2396.9,0.079,0.114,0.5,1,0
2410.7,0.072,1.35,0.5,1,0
2474.8,0.079,0.118,0.5,1,0
2538.5,0.101,0.4,0.5,1,0
2651.1,0.079,0.127,0.5,1,0
2657.7,0.055,0.056,0.5,1,0
