energy,K42 + photon [inclusive] width,n + K41 width,J,Pi,L
-1027803.0,0.5,110058.0,1,1,0
5538.601,0.6715,125.373,1,1,0
38337.99,1.3702,1552.59,1,1,0
75120.49,1.0145,25.3679,1,1,0
78912.04,0.795,1418.93,1,1,0
91446.39,0.1095,65.0863,1,1,0
103404.6,0.5101,27.553,1,1,0
123903.5,0.7488,19.6449,1,1,0
128460.4,0.1,130.445,1,1,0
129783.9,0.069,65.0329,1,1,0
130026.4,0.07,95.3852,1,1,0
197989.1,0.4534,101.885,1,1,0
199576.3,0.8643,267.305,1,1,0
206989.2,1.3943,549.56,1,1,0
243258.9,4.2561,2661.58,1,1,0
268740.3,1.2488,438.489,1,1,0
272632.9,2.6276,3522.4,1,1,0
596409.4,3.726,288.643,1,1,0
616201.6,3.726,3306.19,1,1,0
845709.8,5.589,3385.57,1,1,0
1075561.0,5.589,175810.0,1,1,0
-101.2634,0.0256,1.27891,2,1,0
2030.212,0.2958,3.3331,2,1,0
13348.46,0.3684,6.24078,2,1,0
33112.07,0.2694,1.08186,2,1,0
100426.4,0.2687,14.742,2,1,0
131247.6,0.9765,3113.69,2,1,0
138692.5,0.879,323.868,2,1,0
147262.0,0.4454,831.622,2,1,0
150254.4,1.547,290.112,2,1,0
155698.9,0.6796,1053.47,2,1,0
176244.2,0.683,595.698,2,1,0
238383.8,0.7086,111.306,2,1,0
255356.0,0.0874,67.119,2,1,0
309752.5,0.4012,397.251,2,1,0
324939.3,2.077,491.93,2,1,0
339125.8,0.6805,879.622,2,1,0
372931.5,1.5458,305.966,2,1,0
394493.3,8.2429,4712.43,2,1,0
404232.1,0.3,594.6,2,1,0
407289.2,1.9682,132.961,2,1,0
425304.0,0.8887,371.984,2,1,0
471474.2,5.7691,3586.77,2,1,0
664226.6,3.726,4369.98,2,1,0
794384.6,3.726,1084.78,2,1,0
856845.4,5.589,7230.63,2,1,0
7986.021,0.2675,0.40307,0,-1,1
11222.21,0.0785,0.60005,0,-1,1
15419.1,0.1256,0.94625,0,-1,1
18678.02,0.1065,0.74152,0,-1,1
47446.25,0.383,4.62739,0,-1,1
48313.25,0.987,14.6855,0,-1,1
65651.21,2.0875,5.63497,0,-1,1
75350.22,0.3217,774.654,0,-1,1
86151.05,1.0733,10.2919,0,-1,1
122265.7,1.2407,10.5373,0,-1,1
125950.0,0.4817,638.036,0,-1,1
128494.4,0.1,1251.81,0,-1,1
182958.6,9.3384,9.55986,0,-1,1
198747.2,0.9811,2908.23,0,-1,1
208286.5,0.0491,1509.6,0,-1,1
311546.2,2.6627,7399.61,0,-1,1
15028.09,0.396,8.42836,1,-1,1
15608.4,0.4927,1.50041,1,-1,1
25118.28,0.46,897.805,1,-1,1
42331.04,0.3786,4.00101,1,-1,1
47685.75,1.0089,27.6172,1,-1,1
