energy,Kr87 + photon [inclusive] width,n + Kr86 width,J,Pi,L
-20000.0,1.45,20.0,0.5,1,0
36940.0,0.159,53.0,0.5,1,0
49600.0,0.133,44.0,0.5,1,0
137280.0,0.167,3180.0,0.5,1,0
157300.0,0.153,1400.0,0.5,1,0
194660.0,0.153,380.0,0.5,1,0
206900.0,0.153,4347.0,0.5,1,0
227500.0,0.153,135.0,0.5,1,0
270400.0,0.153,1960.0,0.5,1,0
313100.0,0.153,3210.0,0.5,1,0
330300.0,0.153,1370.0,0.5,1,0
366500.0,0.153,25.0,0.5,1,0
390300.0,0.153,1355.0,0.5,1,0
458700.0,0.153,815.0,0.5,1,0
492900.0,0.153,335.0,0.5,1,0
508100.0,0.153,2065.0,0.5,1,0
539800.0,0.153,45.0,0.5,1,0
567500.0,0.153,2140.0,0.5,1,0
624400.0,0.153,385.0,0.5,1,0
641200.0,0.153,1170.0,0.5,1,0
680000.0,0.153,190.0,0.5,1,0
695200.0,0.153,600.0,0.5,1,0
728800.0,0.153,2820.0,0.5,1,0
745200.0,0.153,865.0,0.5,1,0
755000.0,0.153,1780.0,0.5,1,0
777000.0,0.153,265.0,0.5,1,0
820300.0,0.153,760.0,0.5,1,0
828400.0,0.153,160.0,0.5,1,0
831100.0,0.153,145.0,0.5,1,0
851000.0,0.153,325.0,0.5,1,0
874000.0,0.153,98.0,0.5,1,0
889300.0,0.153,85.0,0.5,1,0
929000.0,0.153,2320.0,0.5,1,0
19220.0,0.152,14.7,0.5,-1,1
43880.0,0.328,125.0,0.5,-1,1
68570.0,0.075,27.0,0.5,-1,1
79320.0,0.249,1.04,0.5,-1,1
124340.0,0.475,380.0,0.5,-1,1
157750.0,0.172,40.0,0.5,-1,1
188890.0,0.5,1575.0,0.5,-1,1
223300.0,0.255,1660.0,0.5,-1,1
270600.0,0.255,560.0,0.5,-1,1
318300.0,0.255,88.0,0.5,-1,1
339700.0,0.255,140.0,0.5,-1,1
352200.0,0.255,265.0,0.5,-1,1
373000.0,0.255,5615.0,0.5,-1,1
390400.0,0.255,340.0,0.5,-1,1
411800.0,0.255,1125.0,0.5,-1,1
443500.0,0.255,230.0,0.5,-1,1
504500.0,0.255,4640.0,0.5,-1,1
513200.0,0.255,155.0,0.5,-1,1
516000.0,0.255,120.0,0.5,-1,1
523000.0,0.255,210.0,0.5,-1,1
524200.0,0.255,25.0,0.5,-1,1
537700.0,0.255,70.0,0.5,-1,1
540100.0,0.255,175.0,0.5,-1,1
555600.0,0.255,400.0,0.5,-1,1
567300.0,0.255,1260.0,0.5,-1,1
573700.0,0.255,240.0,0.5,-1,1
585900.0,0.255,1605.0,0.5,-1,1
608800.0,0.255,3510.0,0.5,-1,1
623000.0,0.255,2200.0,0.5,-1,1
645600.0,0.255,6415.0,0.5,-1,1
