energy,Ni59 + photon [inclusive] width,n + Ni58 width,J,Pi,L
-78318.0,4.0,40685.0,0.5,1,0
-11674.0,1.653,4262.7,0.5,1,0
15328.44,1.103752,1354.062,0.5,1,0
36135.8,1.273467,17.09265,0.5,1,0
63345.2,2.208714,3752.519,0.5,1,0
83410.34,0.7744378,3.30761,0.5,1,0
108362.5,2.463793,1073.094,0.5,1,0
124016.8,0.8376682,452.8695,0.5,1,0
137619.4,1.356487,2015.574,0.5,1,0
140307.2,0.337844,3088.874,0.5,1,0
158101.2,2.165159,5202.293,0.5,1,0
168957.9,0.835344,410.9695,0.5,1,0
176165.4,0.5245304,1.351772,0.5,1,0
191903.1,1.518399,2476.134,0.5,1,0
206597.1,2.664191,7631.138,0.5,1,0
211045.1,0.5460774,60.75937,0.5,1,0
233033.1,2.054384,5659.15,0.5,1,0
242500.5,0.3346196,2.232763,0.5,1,0
245549.0,0.4280618,227.7329,0.5,1,0
261934.9,0.7327876,15.06011,0.5,1,0
272488.9,2.550174,5431.702,0.5,1,0
281591.6,0.9130278,1933.158,0.5,1,0
285380.9,0.8480972,2.883097,0.5,1,0
298061.3,0.3284765,2.008002,0.5,1,0
305407.2,1.445048,658.3986,0.5,1,0
326012.5,0.4108213,1574.667,0.5,1,0
335183.0,1.929442,152.3383,0.5,1,0
349663.3,0.688526,1767.315,0.5,1,0
367742.2,0.3684155,127.8873,0.5,1,0
395049.6,0.5679631,685.1367,0.5,1,0
417484.0,1.329876,9432.074,0.5,1,0
424601.8,2.446039,7612.142,0.5,1,0
428051.8,0.6301624,1014.295,0.5,1,0
455467.9,1.776173,1746.586,0.5,1,0
462257.8,0.8409425,422.4111,0.5,1,0
470413.3,2.431899,457.9851,0.5,1,0
491804.8,1.064314,178.6563,0.5,1,0
496292.0,0.7842211,1381.25,0.5,1,0
507800.3,2.338324,1495.545,0.5,1,0
523541.6,1.119369,1262.427,0.5,1,0
529244.7,0.6873732,187.1912,0.5,1,0
541230.0,0.9335725,499.95,0.5,1,0
553730.5,1.659884,2393.218,0.5,1,0
559754.3,3.446771,867.9221,0.5,1,0
567776.4,5.037416,9072.068,0.5,1,0
588862.0,3.488656,2239.388,0.5,1,0
600628.8,2.19998,7762.978,0.5,1,0
618208.6,1.208109,378.1887,0.5,1,0
