energy,Pa232 + photon [inclusive] width,n + Pa231 width,J,Pi,L
0.4,0.0482,9.866667e-05,1,1,0
0.497,0.03700001,1.786667e-05,1,1,0
0.744,0.041,1.253333e-05,1,1,0
2.794,0.039,2.16e-05,1,1,0
4.354,0.0399,9.28e-05,1,1,0
5.285,0.04270001,0.000152,1,1,0
6.54,0.03999999,7.066667e-05,1,1,0
6.88,0.03890001,0.0003493333,1,1,0
7.583,0.04,0.0001466667,1,1,0
10.77,0.04000001,0.0005013333,1,1,0
11.27,0.037,0.0005333333,1,1,0
11.68,0.03900001,0.000992,1,1,0
13.27,0.03000001,0.001024,1,1,0
14.11,0.03890001,0.000808,1,1,0
15.6,0.04000001,0.000344,1,1,0
17.01,0.04,0.000392,1,1,0
18.77,0.03480001,0.0009866667,1,1,0
19.53,0.04000003,0.0001706667,1,1,0
21.27,0.03999998,0.0002613333,1,1,0
21.43,0.0396,0.001141333,1,1,0
24.76,0.04000001,0.000488,1,1,0
25.5,0.04000003,0.0001413333,1,1,0
28.72,0.04000001,0.000624,1,1,0
30.17,0.04,0.0001493333,1,1,0
35.15,0.04000001,0.00044,1,1,0
38.26,0.03999999,0.00032,1,1,0
39.74,0.0442,0.00172,1,1,0
48.45,0.04,0.0004053333,1,1,0
51.35,0.03999995,0.0007119999,1,1,0
55.2,0.043,0.01045333,1,1,0
56.05,0.04109996,0.00288,1,1,0
56.4,0.04000002,0.001973333,1,1,0
61.4,0.03969999,0.003466667,1,1,0
62.35,0.04000002,0.000416,1,1,0
64.4,0.04000001,0.0003253333,1,1,0
68.21,0.04000001,0.00056,1,1,0
70.07,0.03999993,0.00044,1,1,0
74.85,0.03999997,0.00216,1,1,0
75.83,0.03999996,0.0009040001,1,1,0
76.63,0.03999992,0.0008373334,1,1,0
77.83,0.03999994,0.00168,1,1,0
78.5,0.04000003,0.00104,1,1,0
80.1,0.04170001,0.00232,1,1,0
81.03,0.03999994,0.0008693342,1,1,0
87.7,0.04199998,0.00304,1,1,0
101.33,0.03989992,0.005546668,1,1,0
102.85,0.04539993,0.005093334,1,1,0
104.95,0.03999995,0.00288,1,1,0
110.15,0.04000007,0.002479985,1,1,0
114.6,0.03999985,0.000906667,1,1,0
115.5,0.03999924,0.004986657,1,1,0
-0.09489941,0.04000343,4.60857e-06,2,1,0
1.238,0.0422,2.416e-05,2,1,0
1.96,0.046,8.640001e-06,2,1,0
3.488,0.0359,3.856e-05,2,1,0
4.12,0.0336,7.088e-05,2,1,0
4.536,0.03529999,2.016e-05,2,1,0
5.07,0.0404,0.0004176,2,1,0
5.64,0.03999999,5.056e-05,2,1,0
5.82,0.04000001,5.152e-05,2,1,0
7.83,0.0424,0.0001568,2,1,0
8.74,0.0403,0.0006464,2,1,0
9.267,0.04,5.6e-05,2,1,0
9.72,0.0341,0.0002096,2,1,0
