energy,Pb207 + photon [inclusive] width,n + Pb206 width,J,Pi,L
-10000.0,0.424,70.0,0.5,1,0
16427.2,2.042985,0.8316973,0.5,1,0
65996.0,1.398,93.17254,0.5,1,0
92620.0,1.541792,32.0,0.5,1,0
146310.0,5.172565,176.0,0.5,1,0
207890.0,0.1802376,2173.0,0.5,1,0
220430.0,0.5832415,1407.0,0.5,1,0
257280.0,1.162931,1427.0,0.5,1,0
269770.0,0.04547199,31.0,0.5,1,0
297710.0,1.395174,113.0,0.5,1,0
346000.0,8.110933,10880.0,0.5,1,0
355320.0,2.372282,5299.0,0.5,1,0
382740.0,4.905601,4447.0,0.5,1,0
394950.0,6.134553,4136.0,0.5,1,0
419440.0,7.100847,6033.0,0.5,1,0
429750.0,0.9462348,114.0,0.5,1,0
455570.0,2.157618,42.0,0.5,1,0
477310.0,3.245556,374.0,0.5,1,0
491950.0,10.72792,9066.0,0.5,1,0
512300.0,1.340832,160.0,0.5,1,0
521860.0,3.165742,55.0,0.5,1,0
532100.0,1.62073,391.0,0.5,1,0
548630.0,3.705695,3099.0,0.5,1,0
617800.0,2.40404,3144.0,0.5,1,0
638500.0,4.586058,180.0,0.5,1,0
655000.0,4.594531,395.0,0.5,1,0
661550.0,4.593788,415.0,0.5,1,0
679000.0,4.649291,2410.0,0.5,1,0
706300.0,4.585035,320.0,0.5,1,0
711900.0,4.584715,323.0,0.5,1,0
723600.0,4.603784,1432.0,0.5,1,0
760200.0,4.582222,300.0,0.5,1,0
770800.0,4.579667,113.0,0.5,1,0
783000.0,4.582162,347.0,0.5,1,0
796850.0,4.584378,597.0,0.5,1,0
873300.0,4.579771,220.0,0.5,1,0
887200.0,4.585409,1134.0,0.5,1,0
11295.5,1.116592,0.04,0.5,-1,1
14218.0,0.1367776,1.559,0.5,-1,1
25420.0,0.3023839,57.78733,0.5,-1,1
36210.0,0.354273,43.25267,0.5,-1,1
40654.0,0.2018684,0.4873686,0.5,-1,1
47494.0,0.2153905,98.17783,0.5,-1,1
70286.0,0.08838929,10.78,0.5,-1,1
86130.0,0.09831002,16.0,0.5,-1,1
103560.0,0.07190491,65.0,0.5,-1,1
104252.0,0.151,65.0,0.5,-1,1
113028.0,0.455,0.06,0.5,-1,1
123160.0,0.118975,35.0,0.5,-1,1
126038.0,0.455,2.73,0.5,-1,1
142330.0,0.1538312,12.0,0.5,-1,1
150700.0,0.2863195,4.4,0.5,-1,1
153520.0,0.2387873,10.0,0.5,-1,1
191243.0,0.671,97.0,0.5,-1,1
196920.0,0.1559358,64.0,0.5,-1,1
199677.0,0.455,0.55,0.5,-1,1
217554.0,0.124,22.0,0.5,-1,1
218054.0,0.092,6.2,0.5,-1,1
223254.0,0.455,0.0718,0.5,-1,1
233144.0,0.455,0.55,0.5,-1,1
239627.0,0.455,0.192,0.5,-1,1
244987.0,0.455,0.4451,0.5,-1,1
253716.0,0.455,0.2043,0.5,-1,1
271509.0,0.455,0.1575,0.5,-1,1
274630.0,0.2718381,32.0,0.5,-1,1
280540.0,1.192727,171.0,0.5,-1,1
292045.0,0.455,1.2994,0.5,-1,1
298340.0,0.125443,62.0,0.5,-1,1
299690.0,1.028,62.0,0.5,-1,1
299736.0,0.455,0.3089,0.5,-1,1
306300.0,0.2675225,73.0,0.5,-1,1
325560.0,0.06680113,49.0,0.5,-1,1
346588.0,0.455,0.5124,0.5,-1,1
361940.0,0.5450523,80.0,0.5,-1,1
368380.0,0.455,40.95,0.5,-1,1
371050.0,0.3873746,40.0,0.5,-1,1
385030.0,0.3285774,157.0,0.5,-1,1
403760.0,0.4844765,173.0,0.5,-1,1
407940.0,0.3984747,44.0,0.5,-1,1
412300.0,0.4316658,126.0,0.5,-1,1
421561.0,0.455,0.5262,0.5,-1,1
427947.0,0.435,127.8,0.5,-1,1
439450.0,0.583034,36.0,0.5,-1,1
453380.0,0.3561419,59.0,0.5,-1,1
458250.0,0.3690761,43.0,0.5,-1,1
461900.0,0.2948117,40.0,0.5,-1,1
484145.0,0.4711943,112.0,0.5,-1,1
499470.0,0.3635471,290.0,0.5,-1,1
514600.0,0.3082388,4.2,0.5,-1,1
516180.0,0.4415125,110.0,0.5,-1,1
534300.0,0.3663181,62.0,0.5,-1,1
556920.0,0.7013019,120.0,0.5,-1,1
565310.0,0.5137459,14.0,0.5,-1,1
589220.0,0.4586893,110.0,0.5,-1,1
595960.0,0.487736,84.0,0.5,-1,1
597450.0,4.834907,210.0,0.5,-1,1
605800.0,0.558916,75.0,0.5,-1,1
623900.0,0.3297347,232.0,0.5,-1,1
666900.0,0.339579,60.0,0.5,-1,1
688300.0,0.3395774,66.0,0.5,-1,1
703760.0,0.3395992,315.0,0.5,-1,1
718200.0,0.3395757,72.0,0.5,-1,1
737800.0,0.3395743,67.0,0.5,-1,1
747100.0,0.3395749,82.0,0.5,-1,1
766800.0,0.3395906,411.0,0.5,-1,1
776800.0,0.3395788,191.0,0.5,-1,1
787900.0,0.3395858,373.0,0.5,-1,1
806300.0,0.3395755,149.0,0.5,-1,1
834400.0,0.3395729,95.0,0.5,-1,1
849200.0,0.3395704,15.0,0.5,-1,1
863700.0,0.3395799,382.0,0.5,-1,1
876200.0,0.3395757,236.0,0.5,-1,1
883200.0,0.3395739,170.0,0.5,-1,1
894200.0,0.3395739,179.0,0.5,-1,1
10000000.0,0.33957,19631000.0,0.5,-1,1
3357.72,0.06973068,0.235,1.5,-1,1
10863.7,0.1820831,0.0325,1.5,-1,1
19742.0,0.06883707,0.6485042,1.5,-1,1
19802.0,0.2719948,0.07106414,1.5,-1,1
21878.0,0.131,0.485798,1.5,-1,1
25103.0,0.1911249,0.5194012,1.5,-1,1
32182.0,0.1364204,0.03541299,1.5,-1,1
37467.0,0.2455282,0.905536,1.5,-1,1
39060.0,0.1800319,0.06022507,1.5,-1,1
42071.1,0.5855,0.5480073,1.5,-1,1
53905.3,0.0795,4.27509,1.5,-1,1
59220.7,0.4618764,1.351934,1.5,-1,1
66590.0,0.1703551,7.40439,1.5,-1,1
78050.0,0.02524781,3.3,1.5,-1,1
82714.0,0.5361107,0.129,1.5,-1,1
90130.0,0.08298694,75.0,1.5,-1,1
111170.0,0.08737837,30.0,1.5,-1,1
114355.0,0.6461812,2.5,1.5,-1,1
115730.0,0.08795613,5.7,1.5,-1,1
123685.0,0.455,0.16485,1.5,-1,1
140950.0,0.06813334,28.0,1.5,-1,1
150110.0,0.1303345,598.0,1.5,-1,1
160170.0,0.06175233,68.0,1.5,-1,1
169432.0,0.455,3.9034,1.5,-1,1
172780.0,0.1328954,73.0,1.5,-1,1
175960.0,0.2207062,13.0,1.5,-1,1
181230.0,0.1196053,27.0,1.5,-1,1
185275.0,0.455,0.09635,1.5,-1,1
189630.0,0.2747869,200.0,1.5,-1,1
200690.0,0.8238104,12.0,1.5,-1,1
211794.0,0.455,0.0134,1.5,-1,1
217197.0,0.455,0.1382,1.5,-1,1
217216.0,0.0855,10.0,1.5,-1,1
226037.0,0.455,0.2589,1.5,-1,1
229011.0,0.0415,35.0,1.5,-1,1
231212.0,0.455,0.48815,1.5,-1,1
240746.0,0.455,0.3233,1.5,-1,1
241445.0,0.7425,39.0,1.5,-1,1
263093.0,0.119,54.0,1.5,-1,1
268500.0,0.03483414,106.0,1.5,-1,1
283130.0,0.09172077,133.0,1.5,-1,1
293850.0,0.1299768,110.0,1.5,-1,1
298594.0,0.455,0.1416,1.5,-1,1
324620.0,0.2936467,55.0,1.5,-1,1
327620.0,0.2560218,44.0,1.5,-1,1
330412.0,0.455,0.1298,1.5,-1,1
362940.0,0.305657,36.0,1.5,-1,1
364060.0,0.3257816,34.0,1.5,-1,1
428640.0,0.2496901,64.0,1.5,-1,1
433730.0,1.725875,58.0,1.5,-1,1
438151.0,0.455,0.29375,1.5,-1,1
446300.0,0.3459588,177.0,1.5,-1,1
454800.0,0.244087,25.0,1.5,-1,1
461731.0,0.05015,15.0,1.5,-1,1
466407.0,3.158,90.0,1.5,-1,1
468080.0,0.6445637,90.0,1.5,-1,1
471860.0,0.02302079,62.0,1.5,-1,1
500300.0,0.3149132,26.0,1.5,-1,1
511220.0,0.4771697,123.0,1.5,-1,1
536110.0,0.4738889,63.0,1.5,-1,1
550600.0,0.3559721,32.0,1.5,-1,1
563290.0,1.114803,253.0,1.5,-1,1
582140.0,0.4085192,111.0,1.5,-1,1
600270.0,0.4106488,22.0,1.5,-1,1
612700.0,0.4264182,112.0,1.5,-1,1
616500.0,0.402765,71.0,1.5,-1,1
630200.0,0.3394303,154.0,1.5,-1,1
631900.0,0.33949,238.0,1.5,-1,1
650800.0,0.3396882,372.0,1.5,-1,1
660600.0,0.3395702,0.6,1.5,-1,1
670400.0,0.3395745,18.0,1.5,-1,1
678075.0,1.193217,436.0,1.5,-1,1
685700.0,0.3395966,130.0,1.5,-1,1
697700.0,0.339623,301.0,1.5,-1,1
700900.0,0.3396718,600.0,1.5,-1,1
705100.0,0.3395805,65.0,1.5,-1,1
709600.0,0.3395827,83.0,1.5,-1,1
714700.0,0.3395758,40.0,1.5,-1,1
728000.0,0.3396127,337.0,1.5,-1,1
733400.0,0.3395765,54.0,1.5,-1,1
740000.0,0.3395725,22.0,1.5,-1,1
748700.0,0.3395866,159.0,1.5,-1,1
752500.0,0.3396002,299.0,1.5,-1,1
756600.0,0.3396045,354.0,1.5,-1,1
765000.0,0.3395848,163.0,1.5,-1,1
775100.0,0.3395841,168.0,1.5,-1,1
777900.0,0.3395763,77.0,1.5,-1,1
782600.0,0.3395831,166.0,1.5,-1,1
793000.0,0.3395845,198.0,1.5,-1,1
804600.0,0.3395768,100.0,1.5,-1,1
810800.0,0.3395778,120.0,1.5,-1,1
839800.0,0.3395786,160.0,1.5,-1,1
843100.0,0.3395814,217.0,1.5,-1,1
850100.0,0.3395715,30.0,1.5,-1,1
852900.0,0.3395945,493.0,1.5,-1,1
858800.0,0.3395733,69.0,1.5,-1,1
861600.0,0.3395791,192.0,1.5,-1,1
868700.0,0.3395807,236.0,1.5,-1,1
878100.0,0.3395709,21.0,1.5,-1,1
888700.0,0.3395789,218.0,1.5,-1,1
890900.0,0.339574,98.0,1.5,-1,1
895800.0,0.3395729,75.0,1.5,-1,1
10000000.0,0.33957,51504000.0,1.5,-1,1
47544.0,0.835,0.0543,1.5,1,2
67493.2,0.835,0.01475,1.5,1,2
80173.0,0.5185243,0.092,1.5,1,2
80380.0,1.228457,7.0,1.5,1,2
82920.0,0.1099751,8.0,1.5,1,2
83613.5,0.835,0.4134,1.5,1,2
93561.0,0.125,7.001,1.5,1,2
94760.0,0.3017927,7.0,1.5,1,2
99721.0,0.835,0.0226,1.5,1,2
105150.0,0.835,0.0242,1.5,1,2
124596.0,2.001,300.0,1.5,1,2
124774.0,0.835,0.0481,1.5,1,2
125250.0,3.986959,21.0,1.5,1,2
140570.0,1.590159,103.0,1.5,1,2
141947.0,0.835,0.05715,1.5,1,2
144730.0,0.1634307,3.1,1.5,1,2
155272.0,0.835,0.1964,1.5,1,2
173740.0,0.3648781,47.0,1.5,1,2
175920.0,0.835,0.1941,1.5,1,2
189794.0,0.835,0.02205,1.5,1,2
193417.0,0.835,0.0612,1.5,1,2
198470.0,3.142905,132.0,1.5,1,2
202965.0,0.835,0.0764,1.5,1,2
204210.0,0.6862539,235.0,1.5,1,2
209946.0,0.835,0.85935,1.5,1,2
213790.0,0.455,22.0,1.5,1,2
