energy,Pu240 + photon [inclusive] width,n + Pu239 width,J,Pi,L
-6.909593,0.0391679,0.01974636,0,1,0
-0.2129374,0.02405091,2.699631e-05,0,1,0
-0.00732399,0.01516708,3.99239e-11,0,1,0
15.40986,0.04054259,0.001889368,0,1,0
32.33394,0.04182541,0.0008890288,0,1,0
47.39792,0.02938826,0.004184278,0,1,0
49.167,0.04448069,0.004351719,0,1,0
56.74816,0.05672256,0.006291219,0,1,0
59.82704,0.03898194,0.0334995,0,1,0
65.54118,0.03772029,0.007801077,0,1,0
72.24346,0.03142321,-9.214739e-05,0,1,0
80.67944,0.042,0.003787611,0,1,0
85.51973,0.051,0.04797643,0,1,0
96.23591,0.042,0.006640183,0,1,0
100.2558,0.042,0.03033674,0,1,0
114.1503,0.039,0.002472959,0,1,0
116.1927,0.039,0.01021997,0,1,0
131.4305,0.04380129,0.03729459,0,1,0
136.9292,0.03349058,0.01152357,0,1,0
147.1888,0.04010731,0.005191185,0,1,0
157.1277,0.03601941,0.03060402,0,1,0
170.8137,0.04350615,0.003603203,0,1,0
184.5164,0.04277047,0.02040157,0,1,0
191.8247,0.03939159,0.001166086,0,1,0
195.3445,0.02229571,0.05310224,0,1,0
204.0296,0.05250208,0.06599152,0,1,0
210.9119,0.03907835,0.003274179,0,1,0
213.3327,0.03943158,0.00901589,0,1,0
225.0397,0.0415006,0.01243965,0,1,0
230.3589,0.03956492,0.003799758,0,1,0
233.9565,0.03964911,0.009454109,0,1,0
256.0063,0.04009078,0.001132684,0,1,0
262.0958,0.04019009,0.08384819,0,1,0
275.0416,0.0434021,0.03982852,0,1,0
276.0455,0.03931186,0.03063665,0,1,0
291.2084,0.03681574,0.02466857,0,1,0
293.154,0.038443,0.0004964813,0,1,0
310.4526,0.03975185,0.002760209,0,1,0
323.7062,0.0403998,0.01651809,0,1,0
330.1633,0.04257778,0.006145106,0,1,0
346.5346,0.03751078,0.0109394,0,1,0
361.5828,0.03919859,0.003286775,0,1,0
365.0978,0.04428747,0.06239499,0,1,0
370.1085,0.04060435,0.0008158517,0,1,0
373.761,0.04374821,0.002644379,0,1,0
387.5805,0.0417709,0.003120283,0,1,0
420.5433,0.03846921,0.008042137,0,1,0
426.2298,0.04147834,0.02051328,0,1,0
433.2824,0.04072026,0.01708623,0,1,0
442.943,0.04269684,0.0224614,0,1,0
