energy,Rh104 + photon [inclusive] width,n + Rh103 width,J,Pi,L
-1491.814,0.1816456,2.322584,0,1,0
46.82268,0.1747914,0.001745071,0,1,0
95.70722,0.1834618,0.007731932,0,1,0
154.2556,0.2026671,0.1928522,0,1,0
327.8924,0.1727176,0.002195183,0,1,0
486.7711,0.1737102,0.004078132,0,1,0
797.0398,0.2489375,0.01166529,0,1,0
914.4677,0.2184984,0.1332129,0,1,0
955.6727,0.3040639,0.07940269,0,1,0
1196.683,0.1834921,0.5849197,0,1,0
1737.123,0.1477976,0.04525096,0,1,0
1905.183,0.1464032,0.06259696,0,1,0
1982.909,0.1677072,0.5390263,0,1,0
2060.281,0.164944,0.1709358,0,1,0
2115.966,0.1623361,0.4271786,0,1,0
2315.932,0.1609962,0.1446824,0,1,0
2882.044,0.1640517,0.1906744,0,1,0
2998.536,0.1492291,0.3151404,0,1,0
3272.894,0.1583298,0.5585561,0,1,0
3396.083,0.1745775,1.405929,0,1,0
3491.836,0.4724686,0.5143201,0,1,0
4062.233,0.1724438,0.1241585,0,1,0
5023.192,0.1464739,0.2055022,0,1,0
5061.07,0.1451948,0.0873298,0,1,0
5089.144,0.1403747,0.04563945,0,1,0
5256.611,0.1571719,0.01494759,0,1,0
5318.717,0.1583991,0.04133654,0,1,0
5345.88,0.1571698,0.01779011,0,1,0
5397.327,0.1587865,0.05066612,0,1,0
5473.58,0.2045874,0.4361684,0,1,0
5511.772,0.1712017,0.07865589,0,1,0
5788.224,0.1673379,0.1144341,0,1,0
5811.787,0.1788405,0.1205899,0,1,0
5911.925,0.1596975,0.06238244,0,1,0
6057.257,0.152009,0.1068014,0,1,0
6070.839,0.1668504,0.08492628,0,1,0
6140.399,0.1388073,0.266477,0,1,0
6234.286,0.1610591,0.063856,0,1,0
6356.094,0.1924286,0.4277385,0,1,0
6863.157,0.1688866,0.1032309,0,1,0
6887.075,0.204703,0.2484158,0,1,0
7048.481,0.1501153,0.000698131,0,1,0
7120.229,0.1914314,0.04069706,0,1,0
7962.575,0.152475,0.0550163,0,1,0
7970.851,0.2086456,0.1130521,0,1,0
8735.678,0.1500098,27.13319,0,1,0
32.98025,0.16977,2.2508e-05,0,1,1
51.63365,0.1644675,9.867797e-06,0,1,1
112.4564,0.1638877,1.364469e-05,0,1,1
251.5858,0.2119547,0.0007467631,0,1,1
263.2424,0.2362568,0.004293056,0,1,1
505.0577,0.1613802,0.001879719,0,1,1
727.7566,0.1479734,0.003069147,0,1,1
895.5939,0.1557659,0.02677391,0,1,1
924.6675,0.1558538,0.002036625,0,1,1
1278.86,0.1464845,0.02264556,0,1,1
1380.982,0.1486612,0.01123642,0,1,1
1576.578,0.1518019,0.001622966,0,1,1
2244.936,0.1548915,0.04149558,0,1,1
2397.511,0.1532281,0.02027122,0,1,1
2530.372,0.1485687,0.02243987,0,1,1
2549.411,0.1519761,0.05452172,0,1,1
2948.226,0.1836411,0.02178129,0,1,1
3786.612,0.219228,0.1818281,0,1,1
4277.487,0.1497107,0.0003548348,0,1,1
4441.246,0.1655823,0.3547791,0,1,1
4787.266,0.1485569,0.6893343,0,1,1
4885.671,0.164758,0.0607631,0,1,1
4938.654,0.1634749,0.03805443,0,1,1
5042.899,0.1702315,0.2399121,0,1,1
5073.234,0.1587131,0.8983883,0,1,1
5368.479,0.1506333,0.005121435,0,1,1
5375.636,0.1585412,0.7744312,0,1,1
5377.143,0.149335,0.09697935,0,1,1
5390.446,0.1489061,0.05830159,0,1,1
5397.103,0.1597131,0.1265636,0,1,1
5436.958,0.1742063,0.08514318,0,1,1
5454.112,0.1502364,0.004425532,0,1,1
5551.219,0.1358382,0.2026428,0,1,1
5557.692,0.1537794,0.2195764,0,1,1
6118.349,0.146391,0.1416497,0,1,1
6163.727,0.1450537,0.1586847,0,1,1
6213.346,0.1550997,0.08455346,0,1,1
6518.184,0.1839659,0.185017,0,1,1
7149.738,0.1132427,0.2949036,0,1,1
7488.397,0.1414264,0.008237317,0,1,1
7664.268,0.251295,0.05247753,0,1,1
7701.725,0.1481952,0.208855,0,1,1
7811.337,0.2032495,0.5820188,0,1,1
7929.12,0.1399142,0.1988712,0,1,1
7971.483,0.1542021,0.04870415,0,1,1
-1401.861,0.1062896,1.018271,1,-1,0
-28.42515,0.2721235,0.006170063,1,-1,0
1.259583,0.1542658,0.0005009451,1,-1,0
68.33685,0.2320322,0.0002222146,1,-1,0
125.5494,0.1868837,0.007481707,1,-1,0
187.1198,0.1857434,0.03748409,1,-1,0
253.9633,0.1854975,0.03637731,1,-1,0
272.3341,0.1993277,0.05973255,1,-1,0
289.9668,0.2122703,0.0191667,1,-1,0
319.7763,0.1962368,0.09443604,1,-1,0
362.737,0.1725462,0.0004339599,1,-1,0
406.4103,0.2570129,0.01426834,1,-1,0
433.0049,0.1704323,0.001278587,1,-1,0
435.6285,0.1867154,0.2021368,1,-1,0
473.0675,0.1679737,0.001252824,1,-1,0
555.6782,0.2054349,0.092762,1,-1,0
