energy,Si31 + photon [inclusive] width,n + Si30 width,J,Pi,L
-1147400.0,3.006548,268240.0,0.5,1,0
-161550.0,0.5866399,2640.0,0.5,1,0
183488.8,8.3666,10139.0,0.5,1,0
1182176.0,6.0,5912.4,0.5,1,0
1586007.0,6.0,23644.0,0.5,1,0
2583249.0,6.0,92076.0,0.5,1,0
4981.232,0.24298,0.93213,0.5,-1,1
15144.86,0.10244,1.135,0.5,-1,1
413388.6,0.5644,1581.3,0.5,-1,1
796946.1,0.6,469.32,0.5,-1,1
807379.8,0.6,274.33,0.5,-1,1
810796.9,0.6,419.31,0.5,-1,1
979821.3,0.6,591.82,0.5,-1,1
1274871.0,0.6,2225.5,0.5,-1,1
1333910.0,0.6,4624.0,0.5,-1,1
1383598.0,0.6,25336.0,0.5,-1,1
190226.2,0.76951,10.128,1.5,-1,1
302807.1,0.36255,274.27,1.5,-1,1
745454.0,0.37,14672.0,1.5,-1,1
844674.6,0.37,6615.3,1.5,-1,1
1310775.0,0.37,339.71,1.5,-1,1
1356025.0,0.37,12271.0,1.5,-1,1
1412108.0,0.37,668.62,1.5,-1,1
235204.8,0.90422,115.39,1.5,1,2
645600.3,0.35467,400.87,1.5,1,2
1217821.0,0.8,4588.9,1.5,1,2
1302033.0,0.8,304.79,1.5,1,2
1400981.0,0.8,1007.6,1.5,1,2
705625.0,0.8,323.13,2.5,1,2
879800.8,0.8,289.93,2.5,1,2
