energy,Sr89 + photon [inclusive] width,n + Sr88 width,J,Pi,L
13840.0,0.0805,194.15,0.5,1,0
48570.0,0.0663,7.97,0.5,1,0
58900.0,0.0234,2.03,0.5,1,0
91340.0,0.273,953.0,0.5,1,0
105460.0,0.305,256.2,0.5,1,0
141680.0,0.079,501.0,0.5,1,0
181060.0,0.1,176.3,0.5,1,0
194810.0,0.166,47.4,0.5,1,0
230200.0,0.419,1452.0,0.5,1,0
258670.0,0.339,476.3,0.5,1,0
265060.0,0.098,153.5,0.5,1,0
302080.0,0.297,232.8,0.5,1,0
318810.0,0.178,21.2,0.5,1,0
340120.0,0.1,3.2,0.5,1,0
347290.0,0.064,202.0,0.5,1,0
392240.0,0.19,24.4,0.5,1,0
418860.0,0.19,478.5,0.5,1,0
422640.0,0.19,22.4,0.5,1,0
441320.0,0.19,718.8,0.5,1,0
455760.0,0.19,6.8,0.5,1,0
460090.0,0.19,20.1,0.5,1,0
477620.0,0.19,374.1,0.5,1,0
516500.0,0.19,584.1,0.5,1,0
551430.0,0.19,51.5,0.5,1,0
584810.0,0.19,3132.0,0.5,1,0
605900.0,0.19,53.9,0.5,1,0
615300.0,0.19,470.0,0.5,1,0
632670.0,0.19,339.4,0.5,1,0
655830.0,0.19,42.3,0.5,1,0
670690.0,0.19,336.0,0.5,1,0
686400.0,0.19,21.6,0.5,1,0
687250.0,0.19,29.5,0.5,1,0
687790.0,0.19,29.4,0.5,1,0
693460.0,0.19,57.7,0.5,1,0
695830.0,0.19,28.1,0.5,1,0
699380.0,0.19,52.2,0.5,1,0
704170.0,0.19,34.0,0.5,1,0
717070.0,0.19,490.0,0.5,1,0
743790.0,0.19,718.0,0.5,1,0
764150.0,0.19,408.0,0.5,1,0
770420.0,0.19,112.0,0.5,1,0
801880.0,0.19,46.4,0.5,1,0
810940.0,0.19,29.1,0.5,1,0
811720.0,0.19,40.6,0.5,1,0
821290.0,0.19,15.5,0.5,1,0
821680.0,0.19,67.4,0.5,1,0
823820.0,0.19,48.1,0.5,1,0
836110.0,0.19,1163.0,0.5,1,0
837360.0,0.19,72.4,0.5,1,0
838500.0,0.19,36.4,0.5,1,0
840540.0,0.19,75.2,0.5,1,0
850980.0,0.19,1620.0,0.5,1,0
862310.0,0.19,60.9,0.5,1,0
866750.0,0.19,526.0,0.5,1,0
868470.0,0.19,53.2,0.5,1,0
870320.0,0.19,38.3,0.5,1,0
883570.0,0.19,17.8,0.5,1,0
883730.0,0.19,19.6,0.5,1,0
885220.0,0.19,28.1,0.5,1,0
895560.0,0.19,326.0,0.5,1,0
899290.0,0.19,517.0,0.5,1,0
902480.0,0.19,237.0,0.5,1,0
913880.0,0.19,622.0,0.5,1,0
917050.0,0.19,127.9,0.5,1,0
940780.0,0.19,79.8,0.5,1,0
943340.0,0.19,199.0,0.5,1,0
12410.0,0.4462,20.86,0.5,-1,1
12910.0,0.22,0.0048,0.5,-1,1
20810.0,0.22,0.0897,0.5,-1,1
26980.0,0.22,0.0105,0.5,-1,1
36780.0,0.22,0.0679,0.5,-1,1
39070.0,0.0842,3.89,0.5,-1,1
