energy,Ta182 + photon [inclusive] width,n + Ta181 width,J,Pi,L
-7477.238,0.068,14.47578,3,1,0
-11.4,0.0255,0.025,3,1,0
10.34682,0.06164143,0.004816293,3,1,0
20.3117,0.06370451,0.001065877,3,1,0
22.7395,0.06711816,0.0002150754,3,1,0
30.07396,0.07029679,0.0003320523,3,1,0
35.16516,0.0608542,0.01591582,3,1,0
49.16051,0.06789114,0.001277853,3,1,0
59.07556,0.0679758,0.0001532014,3,1,0
78.96508,0.06809546,0.001858847,3,1,0
85.16093,0.06606526,0.005043534,3,1,0
89.65566,0.06753351,0.003908897,3,1,0
91.48651,0.06824353,0.002851566,3,1,0
99.36327,0.06467745,0.1271524,3,1,0
105.5911,0.06541644,0.03083339,3,1,0
118.3913,0.06959622,0.003199292,3,1,0
126.5355,0.06480003,0.04544333,3,1,0
144.3484,0.06813242,0.002139692,3,1,0
149.9482,0.06866586,0.007308415,3,1,0
178.5673,0.06807093,0.001367811,3,1,0
189.2802,0.06807299,0.0007625379,3,1,0
200.1447,0.06956326,0.0418376,3,1,0
204.7252,0.06810783,0.003032959,3,1,0
208.5383,0.06821117,0.01362203,3,1,0
215.14,0.06863556,0.06438408,3,1,0
216.6435,0.06820208,0.02000804,3,1,0
230.6487,0.06776712,0.02847673,3,1,0
232.3383,0.06877814,0.05913628,3,1,0
237.3068,0.06800048,0.001543608,3,1,0
242.6817,0.06824724,0.01022133,3,1,0
247.2027,0.06811018,0.00599083,3,1,0
273.8117,0.06905875,0.1089882,3,1,0
280.3616,0.06920552,0.02078803,3,1,0
287.7101,0.06883661,0.02542949,3,1,0
291.2585,0.06827097,0.01408546,3,1,0
306.2538,0.06899186,0.02818862,3,1,0
311.7292,0.06884082,0.01498221,3,1,0
328.1638,0.06829553,0.005241255,3,1,0
329.419,0.06967291,0.05496407,3,1,0
344.5712,0.06830714,0.029806,3,1,0
357.4103,0.06809678,0.004193782,3,1,0
388.964,0.06842111,0.02545981,3,1,0
397.6771,0.06828652,0.03672907,3,1,0
416.1841,0.06786691,0.08316794,3,1,0
416.9522,0.06743904,0.0625417,3,1,0
421.9049,0.06802522,0.002676041,3,1,0
434.3408,0.06829658,0.03078036,3,1,0
439.366,0.07013582,0.061873,3,1,0
443.4947,0.06853543,0.02755704,3,1,0
444.1759,0.06838211,0.05527489,3,1,0
446.266,0.06838301,0.06909934,3,1,0
465.2187,0.0680965,0.007053388,3,1,0
482.4224,0.06840598,0.01840792,3,1,0
494.0852,0.06811556,0.01113862,3,1,0
524.6568,0.06797252,0.01023591,3,1,0
