energy,Th233 + photon [inclusive] width,n + Th232 width,J,Pi,L
-2000.0,0.0244,32.27563,0.5,1,0
-101.0,0.0244,0.007000853,0.5,1,0
-84.0,0.0244,0.006095349,0.5,1,0
-71.0,0.0244,0.00551228,0.5,1,0
-54.0,0.0244,0.004331477,0.5,1,0
-37.0,0.0244,0.004077662,0.5,1,0
-20.0,0.0244,0.01301616,0.5,1,0
-3.517679,0.0244,0.001409925,0.5,1,0
21.80862,0.02582214,0.002033481,0.5,1,0
23.46737,0.02676498,0.003768766,0.5,1,0
59.53021,0.02376185,0.003779468,0.5,1,0
69.24304,0.02369753,0.04295542,0.5,1,0
113.0554,0.02421786,0.01277753,0.5,1,0
120.8919,0.02347993,0.02185014,0.5,1,0
129.2148,0.03055335,0.003147192,0.5,1,0
145.8759,0.0244,8.688e-05,0.5,1,0
154.3897,0.0244,0.0002066,0.5,1,0
170.4241,0.02448249,0.05971466,0.5,1,0
192.7613,0.02295812,0.016,0.5,1,0
199.4464,0.02322924,0.009541527,0.5,1,0
219.5499,0.0244,4.985e-05,0.5,1,0
221.3288,0.02397516,0.02924781,0.5,1,0
251.6888,0.02416274,0.03098764,0.5,1,0
263.2801,0.022276,0.02131509,0.5,1,0
285.9711,0.02288289,0.0303394,0.5,1,0
305.6895,0.02297922,0.02829824,0.5,1,0
309.5427,0.02442691,5.807815e-05,0.5,1,0
329.1626,0.02426067,0.0737623,0.5,1,0
342.0669,0.02156438,0.03802308,0.5,1,0
365.437,0.02134441,0.02503944,0.5,1,0
369.5666,0.02300549,0.02465291,0.5,1,0
401.1862,0.02229411,0.01069251,0.5,1,0
402.9778,0.02439892,0.000140831,0.5,1,0
421.1141,0.0244,0.0005454,0.5,1,0
454.5864,0.0244,0.001061,0.5,1,0
462.8547,0.02298127,0.06296935,0.5,1,0
489.1534,0.02303433,0.0580686,0.5,1,0
510.762,0.0244,0.003742689,0.5,1,0
528.9117,0.02332572,0.01395837,0.5,1,0
540.6533,0.0244,0.001086,0.5,1,0
570.2529,0.02283414,0.02705826,0.5,1,0
594.5039,0.02440388,0.000126873,0.5,1,0
598.6917,0.02093188,0.01061792,0.5,1,0
618.3369,0.02743675,0.004948537,0.5,1,0
657.1181,0.02398573,0.04726427,0.5,1,0
665.7784,0.02226949,0.02552122,0.5,1,0
675.6958,0.0236402,0.2076002,0.5,1,0
687.9979,0.02306244,0.05152339,0.5,1,0
700.0,0.0244,0.0005,0.5,1,0
701.6342,0.0270964,0.01349278,0.5,1,0
713.4111,0.02242542,0.02724114,0.5,1,0
724.9811,0.0244,0.0001204,0.5,1,0
741.6537,0.02415856,0.1899387,0.5,1,0
779.2803,0.0244,0.013372,0.5,1,0
804.8434,0.02182949,0.1780552,0.5,1,0
829.808,0.0244,0.0002256,0.5,1,0
837.3918,0.0244,0.001467,0.5,1,0
842.9567,0.02404171,0.02671625,0.5,1,0
866.9234,0.02157259,0.01401081,0.5,1,0
890.761,0.02322434,0.03818973,0.5,1,0
907.1484,0.0244,0.001716,0.5,1,0
907.7796,0.0244,0.0004342,0.5,1,0
928.2686,0.0244,0.0002763,0.5,1,0
943.9318,0.02387872,0.04638801,0.5,1,0
963.4183,0.02225211,0.007961098,0.5,1,0
983.691,0.02531303,0.03481323,0.5,1,0
991.2696,0.02351918,0.0968947,0.5,1,0
1011.307,0.02397674,0.1210875,0.5,1,0
1031.22,0.0244,0.0002146,0.5,1,0
1039.918,0.02593663,0.009465108,0.5,1,0
1065.294,0.02519075,0.006198727,0.5,1,0
1078.059,0.0252668,0.008662626,0.5,1,0
1093.965,0.0244,0.002068,0.5,1,0
1110.75,0.02321947,0.02778258,0.5,1,0
1121.434,0.0244,0.003757,0.5,1,0
1139.788,0.02426073,0.01883494,0.5,1,0
1151.277,0.02418452,0.01895522,0.5,1,0
1195.458,0.02443875,0.008804476,0.5,1,0
1218.479,0.02441539,0.0003383927,0.5,1,0
1228.969,0.02475573,0.03486515,0.5,1,0
1244.29,0.02108599,0.0195726,0.5,1,0
1249.865,0.02318093,0.1274641,0.5,1,0
1270.548,0.02677402,0.02197753,0.5,1,0
1293.232,0.02288141,0.1005323,0.5,1,0
1302.705,0.02307082,0.0459866,0.5,1,0
1336.046,0.0244,0.002702,0.5,1,0
1355.943,0.02165607,0.07874973,0.5,1,0
1361.064,0.02411865,0.005511609,0.5,1,0
1379.185,0.0224585,0.04900862,0.5,1,0
1399.026,0.02514985,0.1386365,0.5,1,0
1427.956,0.02282665,0.1126856,0.5,1,0
1434.891,0.02379864,0.03924885,0.5,1,0
1441.781,0.0244,0.000939,0.5,1,0
1461.915,0.0244,0.00143,0.5,1,0
1479.718,0.0244,0.001951,0.5,1,0
1509.298,0.0244,0.002491,0.5,1,0
1520.072,0.02392414,0.2008013,0.5,1,0
1525.602,0.02394055,0.2130629,0.5,1,0
1556.907,0.0237485,0.009139837,0.5,1,0
1582.698,0.02283036,0.02105188,0.5,1,0
1590.933,0.02401643,0.3618512,0.5,1,0
1603.921,0.02289933,0.05256116,0.5,1,0
1632.398,0.02336417,0.5507831,0.5,1,0
1641.919,0.02539101,0.0323007,0.5,1,0
1662.95,0.02396601,0.1283391,0.5,1,0
1679.305,0.0221509,0.02837544,0.5,1,0
1698.734,0.0244,0.002206,0.5,1,0
1707.477,0.0244,0.001378,0.5,1,0
1721.495,0.02285028,0.03737747,0.5,1,0
1741.61,0.02422165,0.008622502,0.5,1,0
1748.485,0.02292434,0.03655116,0.5,1,0
1764.255,0.02294262,0.1164331,0.5,1,0
1804.935,0.02273852,0.1003015,0.5,1,0
1813.692,0.0235504,0.03441462,0.5,1,0
