energy,U234 + photon [inclusive] width,n + U233 width,J,Pi,L
-800.0,0.03967789,2.375541,2,1,0
-387.5,0.03953313,0.5888,2,1,0
-137.5,0.03761435,0.1954,2,1,0
-40.0,0.03213716,0.04306,2,1,0
-7.7966,0.03445961,0.000301,2,1,0
-4.5318,0.03966983,1.766e-05,2,1,0
-3.3278,0.05096006,2.653e-05,2,1,0
-0.99317,0.0285,1.281e-07,2,1,0
0.232443,0.04848,3.177e-08,2,1,0
0.576819,0.02519,6.288e-07,2,1,0
1.451663,0.0383,0.0002007,2,1,0
3.509805,0.03896,0.0002278666,2,1,0
4.457119,0.03449,0.0003485903,2,1,0
6.638419,0.039,0.0004394094,2,1,0
8.702149,0.039,1.341945e-05,2,1,0
8.771688,0.03230704,0.0003702938,2,1,0
11.62729,0.05434618,0.0001543848,2,1,0
13.66236,0.02400577,0.0002940512,2,1,0
17.43633,0.04329561,9.55012e-07,2,1,0
18.10419,0.03507,0.0002843459,2,1,0
22.15178,0.03364986,0.003519696,2,1,0
22.65982,0.03437161,0.001516968,2,1,0
23.05166,0.01699569,0.0009856118,2,1,0
25.39083,0.03022736,0.001569332,2,1,0
28.32027,0.01420294,0.0001091588,2,1,0
30.55734,0.02305766,7.698772e-05,2,1,0
33.69195,0.02981797,6.556008e-05,2,1,0
34.82425,0.04823714,0.005584888,2,1,0
37.41994,0.01948584,0.0009276096,2,1,0
39.03345,0.02661099,0.0009152242,2,1,0
40.47502,0.02636797,0.0008930791,2,1,0
41.91199,0.03633971,0.0003086618,2,1,0
44.74889,0.03571769,0.0002683841,2,1,0
47.29026,0.039,0.0006224447,2,1,0
47.35171,0.039,0.0006927664,2,1,0
49.22178,0.0491224,0.0004047294,2,1,0
50.36373,0.03945911,0.001504542,2,1,0
52.02563,0.0227975,0.0002371335,2,1,0
53.07407,0.0238528,0.000723147,2,1,0
54.01529,0.02850896,0.00127748,2,1,0
56.10498,0.03816825,0.00467777,2,1,0
56.52687,0.03322544,2.742967e-05,2,1,0
57.55905,0.02635044,0.003992032,2,1,0
61.1521,0.03233045,0.00135281,2,1,0
64.09878,0.0267827,0.0007841434,2,1,0
64.10917,0.03132009,0.0009448394,2,1,0
66.41411,0.04455801,0.0007982106,2,1,0
69.11966,0.04226369,0.0005072269,2,1,0
69.66916,0.03561659,0.001899609,2,1,0
72.32691,0.0282295,0.002134526,2,1,0
75.11135,0.0307075,0.0007103858,2,1,0
76.70932,0.03692652,0.0002895976,2,1,0
79.15808,0.03658599,0.004047453,2,1,0
81.81757,0.0535447,0.0005226474,2,1,0
84.70691,0.02608597,0.0005794258,2,1,0
85.43526,0.03651174,0.00101122,2,1,0
89.35787,0.039886,4.366953e-05,2,1,0
90.26672,0.039,0.003836,2,1,0
93.29598,0.03567376,0.0003330119,2,1,0
98.07736,0.039,0.006785,2,1,0
99.61985,0.04263421,0.0008433993,2,1,0
102.7698,0.04081341,0.0004793098,2,1,0
105.2399,0.04656941,0.002203256,2,1,0
108.1444,0.02827367,0.001909284,2,1,0
108.1816,0.03910074,0.0001959869,2,1,0
110.3191,0.03681674,0.000987384,2,1,0
112.3502,0.04254613,0.001344785,2,1,0
113.9963,0.04297362,0.004582273,2,1,0
116.9972,0.03910126,0.0003503878,2,1,0
118.6037,0.04232854,0.005213145,2,1,0
119.997,0.04191278,0.0003313389,2,1,0
123.1515,0.02959835,0.0005853444,2,1,0
128.0587,0.03669156,7.120169e-05,2,1,0
128.7794,0.03801782,0.002286247,2,1,0
130.7434,0.03480395,3.183105e-05,2,1,0
132.0849,0.03018496,0.0004670457,2,1,0
