energy,W187 + photon [inclusive] width,n + W186 width,J,Pi,L
-531.9459,0.0534473,1.138134,0.5,1,0
-400.1078,0.05392131,1.170111,0.5,1,0
-262.9538,0.06583542,3.270875,0.5,1,0
18.84338,0.04356507,0.3122952,0.5,1,0
170.9854,0.07740906,0.0301015,0.5,1,0
218.0325,0.0573274,0.5431203,0.5,1,0
286.9226,0.06642415,0.03462487,0.5,1,0
406.0186,0.05648713,0.1075941,0.5,1,0
509.9802,0.05585014,0.09330321,0.5,1,0
541.5186,0.05815681,0.5363986,0.5,1,0
663.5169,0.07001136,0.6983554,0.5,1,0
721.1769,0.06582481,2.066605,0.5,1,0
831.5949,0.05519647,0.03550226,0.5,1,0
964.4849,0.05982592,1.007718,0.5,1,0
1071.715,0.061,0.573706,0.5,1,0
1122.085,0.06,0.3686631,0.5,1,0
1188.029,0.055,0.9261658,0.5,1,0
1419.198,0.06,0.1099937,0.5,1,0
1500.402,0.068,1.367129,0.5,1,0
1796.343,0.06115672,0.04431168,0.5,1,0
1934.386,0.06,0.8801897,0.5,1,0
2025.464,0.067,0.6179549,0.5,1,0
2106.522,0.067,0.1662368,0.5,1,0
2349.148,0.06,0.2749481,0.5,1,0
2516.554,0.06,0.7628254,0.5,1,0
2571.838,0.06,0.001325677,0.5,1,0
2591.878,0.06,1.294454,0.5,1,0
2658.632,0.0403,5.239261,0.5,1,0
2780.455,0.0428,0.3155347,0.5,1,0
2878.332,0.05277258,1.240569,0.5,1,0
2978.336,0.06714685,0.1610668,0.5,1,0
3041.125,0.06208447,12.04623,0.5,1,0
3159.735,0.06739681,2.347532,0.5,1,0
3312.788,0.0417,0.6568569,0.5,1,0
3424.262,0.0464,3.338615,0.5,1,0
3543.838,0.0464,0.4380981,0.5,1,0
3713.215,0.0601,0.2195768,0.5,1,0
3770.348,0.0464,1.537267,0.5,1,0
3871.955,0.0449,2.819436,0.5,1,0
3965.9,0.0324,0.5926873,0.5,1,0
4168.102,0.05247545,1.206005,0.5,1,0
4222.864,0.06259068,2.787788,0.5,1,0
4397.417,0.04724937,1.793642,0.5,1,0
4542.801,0.0443,2.1892,0.5,1,0
4806.64,0.0376,5.481686,0.5,1,0
4979.445,0.05654498,0.5329065,0.5,1,0
5161.153,0.04134791,3.211279,0.5,1,0
5286.824,0.06041875,0.5828599,0.5,1,0
5386.352,0.0331112,1.312517,0.5,1,0
5405.609,0.03954753,0.4965895,0.5,1,0
5670.436,0.04426937,5.636236,0.5,1,0
5780.955,0.04937791,5.890201,0.5,1,0
6295.659,0.03607678,1.602736,0.5,1,0
6390.144,0.05167969,1.80286,0.5,1,0
6490.815,0.05797574,5.067177,0.5,1,0
6702.649,0.04035893,0.1625392,0.5,1,0
6759.479,0.06110234,3.919299,0.5,1,0
6950.459,0.04748705,1.196,0.5,1,0
6971.285,0.05605825,1.430608,0.5,1,0
7117.955,0.0476,0.5827173,0.5,1,0
7177.655,0.0702999,1.487389,0.5,1,0
7327.744,0.0539,1.381069,0.5,1,0
7473.993,0.0642999,5.289462,0.5,1,0
7637.654,0.0525,1.912655,0.5,1,0
7713.298,0.0512,1.627573,0.5,1,0
7847.679,0.042,0.656267,0.5,1,0
7982.251,0.0339,0.9822903,0.5,1,0
8135.975,0.0442,1.195074,0.5,1,0
8295.981,0.0434,2.961637,0.5,1,0
8353.924,0.0485,0.4508706,0.5,1,0
8630.533,0.06,0.9423125,0.5,1,0
8672.468,0.06,0.5260938,0.5,1,0
9183.351,0.06,3.681814,0.5,1,0
9291.314,0.06,7.858797,0.5,1,0
9549.293,0.06,5.389436,0.5,1,0
9588.462,0.06,28.19269,0.5,1,0
9845.148,0.06,1.919741,0.5,1,0
10107.81,0.05302837,3.406887,0.5,1,0
10241.14,0.05302837,2.313728,0.5,1,0
10373.98,0.05302837,2.052358,0.5,1,0
654.7466,0.06464431,0.00130854,0.5,-1,1
729.7953,0.05171797,0.001396105,0.5,-1,1
771.1739,0.06412243,0.001267203,0.5,-1,1
1472.895,0.05079674,0.001362416,0.5,-1,1
1598.097,0.05000417,0.001513722,0.5,-1,1
1687.506,0.05053277,0.001971429,0.5,-1,1
2536.61,0.06333461,0.0040709,0.5,-1,1
2768.825,0.05097281,0.003547693,0.5,-1,1
3018.177,0.05043911,0.0009714496,0.5,-1,1
3180.449,0.04788055,0.00328488,0.5,-1,1
3368.241,0.04970725,0.006841419,0.5,-1,1
3501.781,0.04923055,0.003864085,0.5,-1,1
3628.871,0.04718212,0.004377597,0.5,-1,1
4028.754,0.0504461,0.005045939,0.5,-1,1
4263.137,0.05023225,0.003244652,0.5,-1,1
4374.339,0.0504033,0.003174604,0.5,-1,1
4490.872,0.05181976,0.004956149,0.5,-1,1
4706.428,0.05071927,0.0106928,0.5,-1,1
4753.141,0.05091559,0.01418349,0.5,-1,1
